e1,e2,V,Rs,Rv,P 
0,0,0.988912,0.00535243,0.00573537,0.0110878
0,0.01,0.988959,0.00535187,0.00568882,0.0110407
0,0.02,0.989006,0.00535131,0.00564307,0.0109944
0,0.03,0.989051,0.00535075,0.00559811,0.0109489
0,0.04,0.989096,0.0053502,0.00555392,0.0109041
0,0.05,0.98914,0.00534964,0.00551048,0.0108601
0,0.06,0.989183,0.00534909,0.00546777,0.0108169
0,0.07,0.989226,0.00534853,0.00542577,0.0107743
0,0.08,0.989268,0.00534798,0.00538446,0.0107324
0,0.09,0.989309,0.00534743,0.00534383,0.0106913
0,0.1,0.989349,0.00534688,0.00530387,0.0106507
0,0.11,0.989389,0.00534633,0.00526455,0.0106109
0,0.12,0.989428,0.00534578,0.00522586,0.0105716
0,0.13,0.989467,0.00534523,0.00518778,0.010533
0,0.14,0.989505,0.00534469,0.0051503,0.010495
0,0.15,0.989542,0.00534414,0.00511342,0.0104576
0,0.16,0.989579,0.00534359,0.0050771,0.0104207
0,0.17,0.989616,0.00534305,0.00504135,0.0103844
0,0.18,0.989651,0.00534251,0.00500614,0.0103486
0,0.19,0.989687,0.00534196,0.00497147,0.0103134
0,0.2,0.989721,0.00534142,0.00493732,0.0102787
0,0.21,0.989755,0.00534088,0.00490368,0.0102446
0,0.22,0.989789,0.00534034,0.00487054,0.0102109
0,0.23,0.989822,0.0053398,0.00483789,0.0101777
0,0.24,0.989855,0.00533926,0.00480572,0.010145
0,0.25,0.989887,0.00533872,0.00477402,0.0101127
0,0.26,0.989919,0.00533819,0.00474278,0.010081
0,0.27,0.98995,0.00533765,0.00471199,0.0100496
0,0.28,0.989981,0.00533711,0.00468163,0.0100187
0,0.29,0.990012,0.00533658,0.0046517,0.00998828
0,0.3,0.990042,0.00533605,0.0046222,0.00995824
0,0.31,0.990071,0.00533551,0.00459311,0.00992862
0,0.32,0.990101,0.00533498,0.00456442,0.0098994
0,0.33,0.990129,0.00533445,0.00453612,0.00987057
0,0.34,0.990158,0.00533392,0.00450822,0.00984214
0,0.35,0.990186,0.00533339,0.00448069,0.00981408
0,0.36,0.990214,0.00533286,0.00445354,0.0097864
0,0.37,0.990241,0.00533233,0.00442674,0.00975908
0,0.38,0.990268,0.0053318,0.00440031,0.00973212
0,0.39,0.990294,0.00533128,0.00437423,0.00970551
0,0.4,0.990321,0.00533075,0.00434849,0.00967924
0,0.41,0.990347,0.00533023,0.00432309,0.00965332
0,0.42,0.990372,0.0053297,0.00429802,0.00962772
0,0.43,0.990398,0.00532918,0.00427327,0.00960245
0,0.44,0.990423,0.00532866,0.00424884,0.0095775
0,0.45,0.990447,0.00532814,0.00422472,0.00955286
0,0.46,0.990471,0.00532762,0.00420091,0.00952852
0,0.47,0.990496,0.0053271,0.0041774,0.00950449
0,0.48,0.990519,0.00532658,0.00415418,0.00948075
0,0.49,0.990543,0.00532606,0.00413125,0.00945731
0,0.5,0.990566,0.00532554,0.00410861,0.00943415
0,0.51,0.990589,0.00532502,0.00408624,0.00941126
0,0.52,0.990611,0.00532451,0.00406415,0.00938866
0,0.53,0.990634,0.00532399,0.00404233,0.00936632
0,0.54,0.990656,0.00532348,0.00402077,0.00934424
0,0.55,0.990678,0.00532296,0.00399947,0.00932243
0,0.56,0.990699,0.00532245,0.00397842,0.00930087
0,0.57,0.99072,0.00532194,0.00395763,0.00927957
0,0.58,0.990741,0.00532143,0.00393708,0.00925851
0,0.59,0.990762,0.00532092,0.00391677,0.00923769
0,0.6,0.990783,0.00532041,0.0038967,0.00921711
0,0.61,0.990803,0.0053199,0.00387686,0.00919676
0,0.62,0.990823,0.00531939,0.00385726,0.00917665
0,0.63,0.990843,0.00531888,0.00383787,0.00915676
0,0.64,0.990863,0.00531838,0.00381871,0.00913709
0,0.65,0.990882,0.00531787,0.00379977,0.00911764
0,0.66,0.990902,0.00531736,0.00378104,0.00909841
0,0.67,0.990921,0.00531686,0.00376252,0.00907938
0,0.68,0.990939,0.00531636,0.00374421,0.00906057
0,0.69,0.990958,0.00531585,0.00372611,0.00904196
0,0.7,0.990976,0.00531535,0.0037082,0.00902355
0,0.71,0.990995,0.00531485,0.00369049,0.00900534
0,0.72,0.991013,0.00531435,0.00367297,0.00898732
