e1,e2,V,Rs,Rv,P
0,0,0.0370008,0.00617215,0.956827,0.962999
0,0.01,0.0369977,0.00617162,0.956831,0.963002
0,0.02,0.0369946,0.00617109,0.956834,0.963005
0,0.03,0.0369915,0.00617056,0.956838,0.963008
0,0.04,0.0369885,0.00617003,0.956842,0.963012
0,0.05,0.0369854,0.0061695,0.956845,0.963015
0,0.06,0.0369824,0.00616898,0.956849,0.963018
0,0.07,0.0369794,0.00616845,0.956852,0.963021
0,0.08,0.0369764,0.00616792,0.956856,0.963024
0,0.09,0.0369734,0.0061674,0.956859,0.963027
0,0.1,0.0369705,0.00616688,0.956863,0.96303
0,0.11,0.0369675,0.00616635,0.956866,0.963032
0,0.12,0.0369646,0.00616583,0.95687,0.963035
0,0.13,0.0369617,0.00616531,0.956873,0.963038
0,0.14,0.0369589,0.00616479,0.956876,0.963041
0,0.15,0.036956,0.00616427,0.95688,0.963044
0,0.16,0.0369532,0.00616375,0.956883,0.963047
0,0.17,0.0369503,0.00616323,0.956886,0.96305
0,0.18,0.0369475,0.00616271,0.95689,0.963052
0,0.19,0.0369447,0.0061622,0.956893,0.963055
0,0.2,0.036942,0.00616168,0.956896,0.963058
0,0.21,0.0369392,0.00616116,0.9569,0.963061
0,0.22,0.0369365,0.00616065,0.956903,0.963064
0,0.23,0.0369338,0.00616014,0.956906,0.963066
0,0.24,0.036931,0.00615962,0.956909,0.963069
0,0.25,0.0369284,0.00615911,0.956913,0.963072
0,0.26,0.0369257,0.0061586,0.956916,0.963074
0,0.27,0.036923,0.00615809,0.956919,0.963077
0,0.28,0.0369204,0.00615758,0.956922,0.96308
0,0.29,0.0369178,0.00615707,0.956925,0.963082
0,0.3,0.0369152,0.00615656,0.956928,0.963085
0,0.31,0.0369126,0.00615605,0.956931,0.963087
0,0.32,0.03691,0.00615554,0.956934,0.96309
0,0.33,0.0369075,0.00615504,0.956937,0.963093
0,0.34,0.0369049,0.00615453,0.956941,0.963095
0,0.35,0.0369024,0.00615403,0.956944,0.963098
0,0.36,0.0368999,0.00615352,0.956947,0.9631
0,0.37,0.0368974,0.00615302,0.95695,0.963103
0,0.38,0.0368949,0.00615252,0.956953,0.963105
0,0.39,0.0368925,0.00615201,0.956956,0.963108
0,0.4,0.03689,0.00615151,0.956958,0.96311
0,0.41,0.0368876,0.00615101,0.956961,0.963112
0,0.42,0.0368852,0.00615051,0.956964,0.963115
0,0.43,0.0368828,0.00615001,0.956967,0.963117
0,0.44,0.0368804,0.00614951,0.95697,0.96312
0,0.45,0.036878,0.00614902,0.956973,0.963122
0,0.46,0.0368757,0.00614852,0.956976,0.963124
0,0.47,0.0368733,0.00614802,0.956979,0.963127
0,0.48,0.036871,0.00614753,0.956981,0.963129
0,0.49,0.0368687,0.00614703,0.956984,0.963131
0,0.5,0.0368664,0.00614654,0.956987,0.963134
0,0.51,0.0368641,0.00614604,0.95699,0.963136
0,0.52,0.0368618,0.00614555,0.956993,0.963138
0,0.53,0.0368596,0.00614506,0.956995,0.96314
0,0.54,0.0368573,0.00614457,0.956998,0.963143
0,0.55,0.0368551,0.00614408,0.957001,0.963145
0,0.56,0.0368529,0.00614359,0.957004,0.963147
0,0.57,0.0368507,0.0061431,0.957006,0.963149
0,0.58,0.0368485,0.00614261,0.957009,0.963151
0,0.59,0.0368464,0.00614212,0.957012,0.963154
0,0.6,0.0368442,0.00614163,0.957014,0.963156
0,0.61,0.0368421,0.00614115,0.957017,0.963158
0,0.62,0.0368399,0.00614066,0.957019,0.96316
0,0.63,0.0368378,0.00614018,0.957022,0.963162
0,0.64,0.0368357,0.00613969,0.957025,0.963164
0,0.65,0.0368336,0.00613921,0.957027,0.963166
0,0.66,0.0368315,0.00613872,0.95703,0.963168
0,0.67,0.0368295,0.00613824,0.957032,0.963171
0,0.68,0.0368274,0.00613776,0.957035,0.963173
0,0.69,0.0368254,0.00613728,0.957037,0.963175
0,0.7,0.0368233,0.0061368,0.95704,0.963177
0,0.71,0.0368213,0.00613632,0.957042,0.963179
0,0.72,0.0368193,0.00613584,0.957045,0.963181
0,0.73,0.0368173,0.00613536,0.957047,0.963183
0,0.74,0.0368154,0.00613488,0.95705,0.963185
0,0.75,0.0368134,0.00613441,0.957052,0.963187
0,0.76,0.0368114,0.00613393,0.957055,0.963189
0,0.77,0.0368095,0.00613345,0.957057,0.96319
0,0.78,0.0368076,0.00613298,0.957059,0.963192
0,0.79,0.0368057,0.0061325,0.957062,0.963194
0,0.8,0.0368038,0.00613203,0.957064,0.963196
0,0.81,0.0368019,0.00613156,0.957067,0.963198
0,0.82,0.0368,0.00613108,0.957069,0.9632
0,0.83,0.0367981,0.00613061,0.957071,0.963202
0,0.84,0.0367963,0.00613014,0.957074,0.963204
0,0.85,0.0367944,0.00612967,0.957076,0.963206
0,0.86,0.0367926,0.0061292,0.957078,0.963207
0,0.87,0.0367907,0.00612873,0.957081,0.963209
0,0.88,0.0367889,0.00612826,0.957083,0.963211
0,0.89,0.0367871,0.0061278,0.957085,0.963213
0,0.9,0.0367853,0.00612733,0.957087,0.963215
0,0.91,0.0367836,0.00612686,0.95709,0.963216
0,0.92,0.0367818,0.0061264,0.957092,0.963218
0,0.93,0.03678,0.00612593,0.957094,0.96322
0,0.94,0.0367783,0.00612547,0.957096,0.963222
0,0.95,0.0367766,0.006125,0.957098,0.963223
0,0.96,0.0367748,0.00612454,0.957101,0.963225
0,0.97,0.0367731,0.00612408,0.957103,0.963227
0,0.98,0.0367714,0.00612361,0.957105,0.963229
0,0.99,0.0367697,0.00612315,0.957107,0.96323
0,1,0.036768,0.00612269,0.957109,0.963232
0.01,0,0.0388425,0.00615444,0.955003,0.961157
0.01,0.01,0.0388393,0.0061539,0.955007,0.961161
0.01,0.02,0.0388361,0.00615337,0.955011,0.961164
0.01,0.03,0.0388329,0.00615284,0.955014,0.961167
0.01,0.04,0.0388297,0.00615231,0.955018,0.96117
0.01,0.05,0.0388265,0.00615179,0.955022,0.961173
0.01,0.06,0.0388234,0.00615126,0.955025,0.961177
0.01,0.07,0.0388203,0.00615073,0.955029,0.96118
0.01,0.08,0.0388172,0.00615021,0.955033,0.961183
0.01,0.09,0.0388141,0.00614968,0.955036,0.961186
0.01,0.1,0.038811,0.00614916,0.95504,0.961189
0.01,0.11,0.038808,0.00614863,0.955043,0.961192
0.01,0.12,0.0388049,0.00614811,0.955047,0.961195
0.01,0.13,0.0388019,0.00614759,0.95505,0.961198
0.01,0.14,0.0387989,0.00614707,0.955054,0.961201
0.01,0.15,0.038796,0.00614655,0.955057,0.961204
0.01,0.16,0.038793,0.00614603,0.955061,0.961207
0.01,0.17,0.0387901,0.00614551,0.955064,0.96121
0.01,0.18,0.0387872,0.00614499,0.955068,0.961213
0.01,0.19,0.0387843,0.00614447,0.955071,0.961216
0.01,0.2,0.0387814,0.00614395,0.955075,0.961219
0.01,0.21,0.0387786,0.00614344,0.955078,0.961221
0.01,0.22,0.0387757,0.00614292,0.955081,0.961224
0.01,0.23,0.0387729,0.00614241,0.955085,0.961227
0.01,0.24,0.0387701,0.00614189,0.955088,0.96123
0.01,0.25,0.0387673,0.00614138,0.955091,0.961233
0.01,0.26,0.0387645,0.00614087,0.955095,0.961235
0.01,0.27,0.0387618,0.00614036,0.955098,0.961238
0.01,0.28,0.038759,0.00613985,0.955101,0.961241
0.01,0.29,0.0387563,0.00613934,0.955104,0.961244
0.01,0.3,0.0387536,0.00613883,0.955108,0.961246
0.01,0.31,0.0387509,0.00613832,0.955111,0.961249
0.01,0.32,0.0387483,0.00613781,0.955114,0.961252
0.01,0.33,0.0387456,0.0061373,0.955117,0.961254
0.01,0.34,0.038743,0.0061368,0.95512,0.961257
0.01,0.35,0.0387404,0.00613629,0.955123,0.96126
0.01,0.36,0.0387378,0.00613579,0.955126,0.961262
0.01,0.37,0.0387352,0.00613528,0.95513,0.961265
0.01,0.38,0.0387326,0.00613478,0.955133,0.961267
0.01,0.39,0.0387301,0.00613428,0.955136,0.96127
0.01,0.4,0.0387275,0.00613377,0.955139,0.961272
0.01,0.41,0.038725,0.00613327,0.955142,0.961275
0.01,0.42,0.0387225,0.00613277,0.955145,0.961277
0.01,0.43,0.03872,0.00613227,0.955148,0.96128
0.01,0.44,0.0387176,0.00613177,0.955151,0.961282
0.01,0.45,0.0387151,0.00613127,0.955154,0.961285
0.01,0.46,0.0387127,0.00613078,0.955157,0.961287
0.01,0.47,0.0387102,0.00613028,0.955159,0.96129
0.01,0.48,0.0387078,0.00612978,0.955162,0.961292
0.01,0.49,0.0387054,0.00612929,0.955165,0.961295
0.01,0.5,0.0387031,0.00612879,0.955168,0.961297
0.01,0.51,0.0387007,0.0061283,0.955171,0.961299
0.01,0.52,0.0386983,0.00612781,0.955174,0.961302
0.01,0.53,0.038696,0.00612731,0.955177,0.961304
0.01,0.54,0.0386937,0.00612682,0.955179,0.961306
0.01,0.55,0.0386914,0.00612633,0.955182,0.961309
0.01,0.56,0.0386891,0.00612584,0.955185,0.961311
0.01,0.57,0.0386868,0.00612535,0.955188,0.961313
0.01,0.58,0.0386845,0.00612486,0.955191,0.961315
0.01,0.59,0.0386823,0.00612437,0.955193,0.961318
0.01,0.6,0.0386801,0.00612388,0.955196,0.96132
0.01,0.61,0.0386778,0.0061234,0.955199,0.961322
0.01,0.62,0.0386756,0.00612291,0.955201,0.961324
0.01,0.63,0.0386734,0.00612242,0.955204,0.961327
