Betapv,Betamv,V,Rs,Rv,P
0,0 ,0.994616, 0.00338395,0.002,0.00538395
0,0.01 ,0.994569, 0.00338998,0.00204123,0.00543121
0,0.02 ,0.994518, 0.00339624,0.00208549,0.00548173
0,0.03 ,0.994464, 0.00340273,0.00213318,0.00553591
0,0.04 ,0.994406, 0.00340948,0.00218477,0.00559425
0,0.05 ,0.994343, 0.00341651,0.00224081,0.00565732
0,0.06 ,0.994274, 0.00342384,0.00230201,0.00572584
0,0.07 ,0.994199, 0.00343149,0.00236919,0.00580068
0,0.08 ,0.994117, 0.00343949,0.0024434,0.00588289
0,0.09 ,0.994026, 0.00344787,0.00252597,0.00597384
0,0.1 ,0.993925, 0.00345667,0.00261859,0.00607526
0,0.11 ,0.993811, 0.00346592,0.00272346,0.00618938
0,0.12 ,0.993681, 0.00347567,0.00284353,0.0063192
0,0.13 ,0.993531, 0.00348598,0.00298278,0.00646876
0,0.14 ,0.993356, 0.0034969,0.00314686,0.00664376
0,0.15 ,0.993148, 0.00350851,0.0033439,0.00685241
0,0.16 ,0.992893, 0.00352088,0.00358624,0.00710712
0,0.17 ,0.992572, 0.00353412,0.00389344,0.00742756
0,0.18 ,0.992153, 0.00354835,0.00429866,0.00784701
0,0.19 ,0.991573, 0.00356372,0.00486292,0.00842664
0,0.2 ,0.990708, 0.00358039,0.00571211,0.0092925
0,0.21 ,0.989249, 0.00359858,0.00715249,0.0107511
0,0.22 ,0.986233, 0.00361858,0.0101485,0.0137671
0,0.23 ,0.977068, 0.00364073,0.0192909,0.0229317
0,0.24 ,0.940055, 0.00366548,0.0562769,0.0599424
0,0.25 ,0.875331, 0.00369341,0.120976,0.124669
0,0.26 ,0.810087, 0.0037253,0.186188,0.189913
0,0.27 ,0.749627, 0.00376216,0.246611,0.250373
0,0.28 ,0.694351, 0.00380526,0.301844,0.305649
0,0.29 ,0.643932, 0.00385619,0.352212,0.356068
0,0.3 ,0.597926, 0.00391674,0.398157,0.402074
0,0.31 ,0.555897, 0.00398886,0.440114,0.444103
0,0.32 ,0.517442, 0.00407452,0.478483,0.482558
0,0.33 ,0.482205, 0.00417561,0.513619,0.517795
0,0.34 ,0.449867, 0.00429383,0.545839,0.550133
0,0.35 ,0.420148, 0.00443061,0.575422,0.579852
0,0.36 ,0.392797, 0.0045871,0.602616,0.607203
0,0.37 ,0.367593, 0.00476413,0.627643,0.632407
0,0.38 ,0.344339, 0.00496222,0.650699,0.655661
0,0.39 ,0.32286, 0.0051816,0.671958,0.67714
0,0.4 ,0.302999, 0.00542225,0.691579,0.697001
0,0.41 ,0.284615, 0.00568392,0.709701,0.715385
0,0.42 ,0.267582, 0.00596615,0.726452,0.732418
0,0.43 ,0.251787, 0.00626835,0.741944,0.748213
0,0.44 ,0.237128, 0.00658979,0.756282,0.762872
0,0.45 ,0.223512, 0.00692964,0.769559,0.776488
0,0.46 ,0.210855, 0.007287,0.781858,0.789145
0,0.47 ,0.199082, 0.00766093,0.793257,0.800918
0,0.48 ,0.188124, 0.00805045,0.803826,0.811876
0,0.49 ,0.177919, 0.00845457,0.813627,0.822081
0,0.5 ,0.168409, 0.0088723,0.822719,0.831591
0,0.51 ,0.159543, 0.00930265,0.831154,0.840457
0,0.52 ,0.151273, 0.00974466,0.838982,0.848727
0,0.53 ,0.143556, 0.0101974,0.846247,0.856444
0,0.54 ,0.136352, 0.0106599,0.852988,0.863648
0,0.55 ,0.129624, 0.0111314,0.859245,0.870376
0,0.56 ,0.123339, 0.0116109,0.86505,0.876661
0,0.57 ,0.117467, 0.0120977,0.870436,0.882533
0,0.58 ,0.111978, 0.0125911,0.875431,0.888022
0,0.59 ,0.106846, 0.0130902,0.880063,0.893154
0,0.6 ,0.102048, 0.0135944,0.884357,0.897952
0,0.61 ,0.0975618, 0.0141031,0.888335,0.902438
0,0.62 ,0.0933656, 0.0146156,0.892019,0.906634
0,0.63 ,0.0894409, 0.0151313,0.895428,0.910559
0,0.64 ,0.0857699, 0.0156498,0.89858,0.91423
0,0.65 ,0.0823363, 0.0161704,0.901493,0.917664
0,0.66 ,0.0791248, 0.0166928,0.904182,0.920875
0,0.67 ,0.0761213, 0.0172165,0.906662,0.923879
0,0.68 ,0.0733127, 0.0177411,0.908946,0.926687
0,0.69 ,0.0706866, 0.0182661,0.911047,0.929313
0,0.7 ,0.0682317, 0.0187913,0.912977,0.931768
0,0.71 ,0.0659373, 0.0193163,0.914746,0.934063
0,0.72 ,0.0637936, 0.0198407,0.916366,0.936206
0,0.73 ,0.0617912, 0.0203644,0.917844,0.938209
0,0.74 ,0.0599216, 0.020887,0.919191,0.940078
0,0.75 ,0.0581766, 0.0214083,0.920415,0.941823
0,0.76 ,0.0565486, 0.0219281,0.921523,0.943451
0,0.77 ,0.0550307, 0.0224461,0.922523,0.944969
0,0.78 ,0.0536161, 0.0229622,0.923422,0.946384
0,0.79 ,0.0522986, 0.0234762,0.924225,0.947701
0,0.8 ,0.0510725, 0.0239879,0.92494,0.948928
0,0.81 ,0.0499322, 0.0244972,0.925571,0.950068
0,0.82 ,0.0488726, 0.0250039,0.926123,0.951127
0,0.83 ,0.0478889, 0.025508,0.926603,0.952111
0,0.84 ,0.0469766, 0.0260092,0.927014,0.953023
0,0.85 ,0.0461313, 0.0265076,0.927361,0.953869
0,0.86 ,0.0453492, 0.027003,0.927648,0.954651
0,0.87 ,0.0446263, 0.0274954,0.927878,0.955374
0,0.88 ,0.0439593, 0.0279846,0.928056,0.956041
0,0.89 ,0.0433446, 0.0284706,0.928185,0.956655
0,0.9 ,0.0427793, 0.0289533,0.928267,0.957221
0,0.91 ,0.0422602, 0.0294327,0.928307,0.95774
0,0.92 ,0.0417846, 0.0299088,0.928307,0.958215
0,0.93 ,0.04135, 0.0303815,0.928269,0.95865
0,0.94 ,0.0409536, 0.0308507,0.928196,0.959046
0,0.95 ,0.0405934, 0.0313165,0.92809,0.959407
0,0.96 ,0.0402669, 0.0317789,0.927954,0.959733
0,0.97 ,0.0399721, 0.0322377,0.92779,0.960028
0,0.98 ,0.0397071, 0.032693,0.9276,0.960293
0,0.99 ,0.0394699, 0.0331448,0.927385,0.96053
0,1 ,0.0392589, 0.0335931,0.927148,0.960741
0.01,0 ,0.994594, 0.00338673,0.00201976,0.00540649
0.01,0.01 ,0.994546, 0.00339276,0.00206099,0.00545375
0.01,0.02 ,0.994496, 0.00339901,0.00210525,0.00550426
0.01,0.03 ,0.994442, 0.0034055,0.00215294,0.00555844
0.01,0.04 ,0.994383, 0.00341225,0.00220452,0.00561678
0.01,0.05 ,0.99432, 0.00341928,0.00226057,0.00567985
0.01,0.06 ,0.994252, 0.00342661,0.00232176,0.00574837
0.01,0.07 ,0.994177, 0.00343426,0.00238893,0.00582319
0.01,0.08 ,0.994095, 0.00344226,0.00246315,0.00590541
0.01,0.09 ,0.994004, 0.00345064,0.00254571,0.00599635
0.01,0.1 ,0.993902, 0.00345944,0.00263833,0.00609776
0.01,0.11 ,0.993788, 0.00346869,0.00274319,0.00621188
0.01,0.12 ,0.993658, 0.00347844,0.00286325,0.00634169
0.01,0.13 ,0.993509, 0.00348875,0.00300249,0.00649124
0.01,0.14 ,0.993334, 0.00349967,0.00316655,0.00666622
0.01,0.15 ,0.993125, 0.00351127,0.00336358,0.00687485
0.01,0.16 ,0.99287, 0.00352365,0.00360589,0.00712954
0.01,0.17 ,0.99255, 0.00353689,0.00391305,0.00744994
0.01,0.18 ,0.992131, 0.00355112,0.00431821,0.00786933
0.01,0.19 ,0.991551, 0.00356648,0.00488237,0.00844885
0.01,0.2 ,0.990685, 0.00358315,0.00573136,0.00931451
0.01,0.21 ,0.989227, 0.00360135,0.00717128,0.0107726
0.01,0.22 ,0.986213, 0.00362134,0.0101659,0.0137872
0.01,0.23 ,0.977055, 0.00364349,0.0193015,0.022945
0.01,0.24 ,0.940065, 0.00366823,0.0562643,0.0599325
0.01,0.25 ,0.875349, 0.00369616,0.120955,0.124651
0.01,0.26 ,0.810106, 0.00372805,0.186166,0.189894
0.01,0.27 ,0.749645, 0.0037649,0.24659,0.250355
0.01,0.28 ,0.694368, 0.003808,0.301824,0.305632
0.01,0.29 ,0.643949, 0.00385892,0.352192,0.356051
0.01,0.3 ,0.597943, 0.00391946,0.398138,0.402057
0.01,0.31 ,0.555912, 0.00399157,0.440096,0.444088
0.01,0.32 ,0.517457, 0.00407722,0.478465,0.482543
0.01,0.33 ,0.48222, 0.00417829,0.513602,0.51778
0.01,0.34 ,0.449881, 0.00429649,0.545822,0.550119
0.01,0.35 ,0.420161, 0.00443325,0.575406,0.579839
0.01,0.36 ,0.392809, 0.00458972,0.602601,0.607191
0.01,0.37 ,0.367605, 0.00476672,0.627629,0.632395
0.01,0.38 ,0.34435, 0.00496479,0.650685,0.65565
0.01,0.39 ,0.322871, 0.00518414,0.671945,0.677129
0.01,0.4 ,0.303009, 0.00542476,0.691566,0.696991
0.01,0.41 ,0.284625, 0.00568639,0.709689,0.715375
0.01,0.42 ,0.267592, 0.0059686,0.726439,0.732408
0.01,0.43 ,0.251797, 0.00627076,0.741933,0.748203
0.01,0.44 ,0.237137, 0.00659217,0.756271,0.762863
0.01,0.45 ,0.22352, 0.00693198,0.769548,0.77648
0.01,0.46 ,0.210863, 0.00728931,0.781848,0.789137
0.01,0.47 ,0.19909, 0.00766321,0.793247,0.80091
0.01,0.48 ,0.188131, 0.00805269,0.803816,0.811869
0.01,0.49 ,0.177926, 0.00845678,0.813617,0.822074
0.01,0.5 ,0.168416, 0.00887447,0.82271,0.831584
0.01,0.51 ,0.15955, 0.00930479,0.831146,0.84045
0.01,0.52 ,0.151279, 0.00974677,0.838974,0.848721
0.01,0.53 ,0.143562, 0.0101995,0.846239,0.856438
0.01,0.54 ,0.136357, 0.010662,0.852981,0.863643
0.01,0.55 ,0.129629, 0.0111334,0.859237,0.870371
0.01,0.56 ,0.123344, 0.0116129,0.865043,0.876656
0.01,0.57 ,0.117472, 0.0120997,0.870429,0.882528
0.01,0.58 ,0.111982, 0.012593,0.875425,0.888018
0.01,0.59 ,0.106851, 0.0130921,0.880057,0.893149
0.01,0.6 ,0.102053, 0.0135963,0.884351,0.897947
0.01,0.61 ,0.097566, 0.0141049,0.888329,0.902434
0.01,0.62 ,0.0933696, 0.0146173,0.892013,0.90663
0.01,0.63 ,0.0894447, 0.0151331,0.895422,0.910555
0.01,0.64 ,0.0857736, 0.0156515,0.898575,0.914226
0.01,0.65 ,0.0823398, 0.0161721,0.901488,0.91766
0.01,0.66 ,0.0791282, 0.0166945,0.904177,0.920872
0.01,0.67 ,0.0761245, 0.0172182,0.906657,0.923875
0.01,0.68 ,0.0733157, 0.0177427,0.908942,0.926684
0.01,0.69 ,0.0706895, 0.0182677,0.911043,0.929311
0.01,0.7 ,0.0682344, 0.0187929,0.912973,0.931766
0.01,0.71 ,0.0659399, 0.0193178,0.914742,0.93406
0.01,0.72 ,0.0637961, 0.0198423,0.916362,0.936204
0.01,0.73 ,0.0617936, 0.0203659,0.917841,0.938206
0.01,0.74 ,0.0599238, 0.0208885,0.919188,0.940076
0.01,0.75 ,0.0581787, 0.0214098,0.920412,0.941821
0.01,0.76 ,0.0565506, 0.0219295,0.92152,0.943449
0.01,0.77 ,0.0550326, 0.0224475,0.92252,0.944967
0.01,0.78 ,0.0536179, 0.0229636,0.923419,0.946382
0.01,0.79 ,0.0523003, 0.0234776,0.924222,0.9477
0.01,0.8 ,0.0510741, 0.0239893,0.924937,0.948926
0.01,0.81 ,0.0499337, 0.0244985,0.925568,0.950066
0.01,0.82 ,0.0488741, 0.0250052,0.926121,0.951126
0.01,0.83 ,0.0478903, 0.0255093,0.9266,0.95211
