e1,e2,V,Rs,Rv,P
0,0 ,0.227077, 0.315492,0.442247,0.757739
0,0.01 ,0.227, 0.315463,0.442338,0.757801
0,0.02 ,0.226921, 0.315434,0.44243,0.757864
0,0.03 ,0.226842, 0.315405,0.442522,0.757927
0,0.04 ,0.226763, 0.315376,0.442615,0.757991
0,0.05 ,0.226683, 0.315347,0.442708,0.758056
0,0.06 ,0.226603, 0.315319,0.442802,0.758121
0,0.07 ,0.226522, 0.315291,0.442896,0.758187
0,0.08 ,0.22644, 0.315263,0.442991,0.758254
0,0.09 ,0.226358, 0.315235,0.443086,0.758321
0,0.1 ,0.226276, 0.315208,0.443181,0.758389
0,0.11 ,0.226194, 0.31518,0.443277,0.758457
0,0.12 ,0.22611, 0.315153,0.443373,0.758526
0,0.13 ,0.226027, 0.315126,0.44347,0.758596
0,0.14 ,0.225943, 0.315099,0.443567,0.758666
0,0.15 ,0.225859, 0.315073,0.443664,0.758737
0,0.16 ,0.225774, 0.315046,0.443762,0.758808
0,0.17 ,0.225689, 0.31502,0.44386,0.75888
0,0.18 ,0.225604, 0.314994,0.443959,0.758953
0,0.19 ,0.225518, 0.314968,0.444057,0.759025
0,0.2 ,0.225432, 0.314942,0.444156,0.759099
0,0.21 ,0.225346, 0.314917,0.444256,0.759173
0,0.22 ,0.225259, 0.314892,0.444355,0.759247
0,0.23 ,0.225172, 0.314866,0.444455,0.759322
0,0.24 ,0.225085, 0.314841,0.444555,0.759397
0,0.25 ,0.224997, 0.314817,0.444656,0.759472
0,0.26 ,0.224909, 0.314792,0.444756,0.759548
0,0.27 ,0.224821, 0.314768,0.444857,0.759625
0,0.28 ,0.224733, 0.314743,0.444959,0.759702
0,0.29 ,0.224644, 0.314719,0.44506,0.759779
0,0.3 ,0.224555, 0.314695,0.445162,0.759857
0,0.31 ,0.224466, 0.314672,0.445263,0.759935
0,0.32 ,0.224377, 0.314648,0.445365,0.760013
0,0.33 ,0.224288, 0.314624,0.445468,0.760092
0,0.34 ,0.224198, 0.314601,0.44557,0.760171
0,0.35 ,0.224108, 0.314578,0.445673,0.760251
0,0.36 ,0.224018, 0.314555,0.445775,0.76033
0,0.37 ,0.223928, 0.314532,0.445878,0.76041
0,0.38 ,0.223837, 0.31451,0.445981,0.760491
0,0.39 ,0.223746, 0.314487,0.446084,0.760572
0,0.4 ,0.223656, 0.314465,0.446188,0.760653
