Betamv, Betapv,V,Rs,Rv,P
0,0,0.978371,0.0196293,0.002,0.0216293
0.01,0,0.978188,0.0196897,0.00212243,0.0218122
0.02,0,0.977999,0.0197511,0.00224997,0.0220011
0.03,0,0.977804,0.0198135,0.00238293,0.0221965
0.04,0,0.977601,0.0198769,0.00252159,0.0223985
0.05,0,0.977392,0.0199414,0.00266628,0.0226076
0.06,0,0.977176,0.0200068,0.00281736,0.0228242
0.07,0,0.976951,0.0200734,0.00297519,0.0230486
0.08,0,0.976719,0.0201411,0.00314019,0.0232812
0.09,0,0.976477,0.0202098,0.00331279,0.0235226
0.1,0,0.976227,0.0202798,0.00349345,0.0237733
0.11,0,0.975966,0.020351,0.00368268,0.0240336
0.12,0,0.975696,0.0204233,0.00388104,0.0243044
0.13,0,0.975414,0.020497,0.0040891,0.0245861
0.14,0,0.975121,0.0205719,0.00430752,0.0248794
0.15,0,0.974815,0.0206481,0.00453699,0.0251851
0.16,0,0.974496,0.0207258,0.00477827,0.025504
0.17,0,0.974163,0.0208048,0.00503217,0.0258369
0.18,0,0.973815,0.0208852,0.00529961,0.0261848
0.19,0,0.973451,0.0209671,0.00558157,0.0265487
0.2,0,0.97307,0.0210505,0.00587911,0.0269296
0.21,0,0.972671,0.0211355,0.00619341,0.0273289
0.22,0,0.972252,0.0212221,0.00652578,0.0277479
0.23,0,0.971812,0.0213103,0.00687763,0.028188
0.24,0,0.971349,0.0214003,0.00725053,0.0286508
0.25,0,0.970862,0.0214919,0.00764622,0.0291381
0.26,0,0.970348,0.0215854,0.00806661,0.029652
0.27,0,0.969806,0.0216806,0.00851385,0.0301945
0.28,0,0.969232,0.0217778,0.00899029,0.0307681
0.29,0,0.968624,0.0218769,0.00949858,0.0313755
0.3,0,0.96798,0.0219781,0.0100417,0.0320198
0.31,0,0.967296,0.0220813,0.0106229,0.0327042
0.32,0,0.966567,0.0221866,0.011246,0.0334326
0.33,0,0.965791,0.0222941,0.0119151,0.0342093
0.34,0,0.964961,0.0224039,0.0126351,0.035039
0.35,0,0.964073,0.0225159,0.0134113,0.0359272
0.36,0,0.96312,0.0226304,0.0142498,0.0368802
0.37,0,0.962095,0.0227473,0.0151576,0.037905
0.38,0,0.96099,0.0228668,0.0161429,0.0390097
0.39,0,0.959796,0.0229889,0.0172148,0.0402037
0.4,0,0.958502,0.0231136,0.0183841,0.0414977
0.41,0,0.957096,0.0232411,0.0196632,0.0429043
0.42,0,0.955562,0.0233715,0.0210664,0.0444378
0.43,0,0.953885,0.0235048,0.0226105,0.0461153
0.44,0,0.952043,0.0236411,0.0243154,0.0479565
0.45,0,0.950015,0.0237805,0.0262043,0.0499848
0.46,0,0.947772,0.0239231,0.0283046,0.0522277
0.47,0,0.945282,0.024069,0.0306487,0.0547177
0.48,0,0.942507,0.0242183,0.0332751,0.0574933
0.49,0,0.9394,0.024371,0.0362294,0.0606004
0.5,0,0.935907,0.0245273,0.0395657,0.064093
0.51,0,0.931965,0.0246873,0.0433478,0.0680351
0.52,0,0.927498,0.0248511,0.0476508,0.0725018
0.53,0,0.92242,0.0250186,0.0525613,0.0775799
0.54,0,0.916632,0.0251902,0.0581781,0.0833683
0.55,0,0.910024,0.0253658,0.0646105,0.0899763
0.56,0,0.902481,0.0255455,0.0719738,0.0975193
