Betamv, Betapv,V,Rs,Rv,P
0,0 ,0.971206, 0.0267937,0.002,0.0287937
0.01,0 ,0.971108, 0.0268098,0.00208231,0.0288921
0.02,0 ,0.971006, 0.0268259,0.00216758,0.0289935
0.03,0 ,0.970902, 0.0268423,0.00225597,0.0290982
0.04,0 ,0.970794, 0.0268587,0.00234764,0.0292064
0.05,0 ,0.970682, 0.0268753,0.00244276,0.0293181
0.06,0 ,0.970566, 0.0268921,0.00254151,0.0294336
0.07,0 ,0.970447, 0.026909,0.00264411,0.0295531
0.08,0 ,0.970323, 0.026926,0.00275076,0.0296768
0.09,0 ,0.970195, 0.0269432,0.0028617,0.0298049
0.1,0 ,0.970062, 0.0269606,0.00297717,0.0299377
0.11,0 ,0.969924, 0.0269781,0.00309744,0.0300755
0.12,0 ,0.969781, 0.0269957,0.00322279,0.0302185
0.13,0 ,0.969633, 0.0270136,0.00335355,0.0303671
0.14,0 ,0.969478, 0.0270315,0.00349004,0.0305216
0.15,0 ,0.969318, 0.0270497,0.00363263,0.0306823
0.16,0 ,0.96915, 0.027068,0.00378172,0.0308497
0.17,0 ,0.968976, 0.0270865,0.00393774,0.0310242
0.18,0 ,0.968794, 0.0271051,0.00410116,0.0312063
0.19,0 ,0.968604, 0.0271239,0.0042725,0.0313964
0.2,0 ,0.968405, 0.0271429,0.0044523,0.0315952
0.21,0 ,0.968197, 0.0271621,0.00464119,0.0318033
0.22,0 ,0.967979, 0.0271814,0.00483984,0.0320213
0.23,0 ,0.96775, 0.027201,0.00504899,0.03225
0.24,0 ,0.96751, 0.0272207,0.00526945,0.0324902
0.25,0 ,0.967257, 0.0272406,0.00550213,0.0327427
0.26,0 ,0.966991, 0.0272607,0.00574803,0.0330087
0.27,0 ,0.966711, 0.027281,0.00600826,0.0332893
0.28,0 ,0.966414, 0.0273015,0.00628404,0.0335856
0.29,0 ,0.966101, 0.0273222,0.00657677,0.033899
0.3,0 ,0.965769, 0.0273431,0.00688799,0.0342311
0.31,0 ,0.965416, 0.0273642,0.00721942,0.0345836
0.32,0 ,0.965041, 0.0273855,0.00757303,0.0349585
0.33,0 ,0.964642, 0.027407,0.00795102,0.0353581
0.34,0 ,0.964215, 0.0274288,0.00835591,0.0357847
0.35,0 ,0.963759, 0.0274507,0.00879056,0.0362413
0.36,0 ,0.963269, 0.0274729,0.00925823,0.0367311
0.37,0 ,0.962742, 0.0274953,0.00976268,0.037258
0.38,0 ,0.962174, 0.027518,0.0103082,0.0378262
0.39,0 ,0.961559, 0.0275408,0.0109,0.0384408
0.4,0 ,0.960892, 0.0275639,0.0115437,0.0391076
0.41,0 ,0.960166, 0.0275873,0.0122463,0.0398336
0.42,0 ,0.959373, 0.0276109,0.0130159,0.0406267
0.43,0 ,0.958503, 0.0276347,0.013862,0.0414967
0.44,0 ,0.957545, 0.0276588,0.0147961,0.0424549
0.45,0 ,0.956485, 0.0276831,0.015832,0.0435152
0.46,0 ,0.955306, 0.0277077,0.0169863,0.044694
0.47,0 ,0.953988, 0.0277326,0.0182793,0.0460119
0.48,0 ,0.952507, 0.0277577,0.0197358,0.0474934
0.49,0 ,0.95083, 0.0277831,0.0213865,0.0491696
0.5,0 ,0.948921, 0.0278088,0.0232698,0.0510786
0.51,0 ,0.946732, 0.0278347,0.0254337,0.0532684
0.52,0 ,0.9442, 0.0278609,0.027939,0.0557999
0.53,0 ,0.94125, 0.0278874,0.0308623,0.0587498
0.54,0 ,0.937784, 0.0279143,0.0343013,0.0622156
0.55,0 ,0.933679, 0.0279414,0.0383792,0.0663206
0.56,0 ,0.928781, 0.0279688,0.0432498,0.0712186
0.57,0 ,0.922903, 0.0279965,0.0491005,0.0770969
0.58,0 ,0.915827, 0.0280245,0.056149,0.0841735
0.59,0 ,0.907318, 0.0280528,0.064629,0.0926818
0.6,0 ,0.897161, 0.0280815,0.0747576,0.102839
0.61,0 ,0.885203, 0.0281105,0.0866863,0.114797
0.62,0 ,0.871413, 0.0281398,0.100447,0.128587
0.63,0 ,0.855906, 0.0281694,0.115924,0.144094
0.64,0 ,0.838932, 0.0281994,0.132868,0.161068
0.65,0 ,0.820822, 0.0282297,0.150948,0.179178
