i,S,V,Ip,Im,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90),,i,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,,,,,,I(x = y = 0.10),I(x = y = 0.50),I(x = y = 0.90),,Im(e1 = e2 = 0.10),Im(e1 = e2 = 0.50),Im(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004,0.004,,0,0.004,0.004,0.004,,,,,,,0.004,0.004,0.004,,0.002,0.002,0.002
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.00587781,0.00587781,0.00587781,,1,0.00880802,0.00688761,0.0049672,,,,,,,0.00880802,0.00688761,0.0049672,,0.00301045,0.00301045,0.00301045
2,0.800358,0.188529,0.00411049,0.00451813,0.0024848,0.00862862,0.00844076,0.00825289,,2,0.0125575,0.00762986,0.00518689,,,,,,,0.0125575,0.00762986,0.00518689,,0.0044307,0.00433799,0.00424528
3,0.715321,0.267391,0.00588713,0.00675775,0.00464373,0.0126449,0.0118604,0.0110976,,3,0.0173773,0.00783635,0.00452153,,,,,,,0.0173773,0.00783635,0.00452153,,0.00636721,0.00593267,0.00551051
4,0.637239,0.336486,0.00841434,0.0100651,0.00779632,0.0184794,0.0163228,0.0143231,,4,0.0233277,0.00750048,0.00378311,,,,,,,0.0233277,0.00750048,0.00378311,,0.00896048,0.00766808,0.00648722
5,0.564989,0.395731,0.0119827,0.0149097,0.012388,0.0268924,0.022018,0.0177809,,5,0.0303619,0.00681012,0.00315088,,,,,,,0.0303619,0.00681012,0.00315088,,0.0124524,0.00940691,0.00689156
6,0.497491,0.44457,0.0169647,0.0219261,0.0190485,0.0388908,0.0291228,0.0212761,,6,0.0382932,0.00597126,0.00262737,,,,,,,0.0382932,0.00597126,0.00262737,,0.0172875,0.0111072,0.00668151
7,0.433738,0.481883,0.0238034,0.0319251,0.0286506,0.0557286,0.0377763,0.0245909,,7,0.0467804,0.00512632,0.00219502,,,,,,,0.0467804,0.00512632,0.00219502,,0.024182,0.0128604,0.00607224
8,0.372871,0.505955,0.0329571,0.0458492,0.0423684,0.0788063,0.0480476,0.0275137,,8,0.0553412,0.00434931,0.00183741,,,,,,,0.0553412,0.00434931,0.00183741,,0.0340799,0.0148124,0.00533344
9,0.31432,0.514602,0.0447614,0.0646072,0.0617088,0.109369,0.0598988,0.0298676,,9,0.0634023,0.00366806,0.00154103,,,,,,,0.0634023,0.00366806,0.00154103,,0.0479778,0.0170632,0.00462561
