i,S,V,Ip(x = 0.10),Im(x = 0.10),Rs,Rv,P,I(e1=e2=0.50)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0005043,0.0005043,0.0010086,0.00587781
2,0.800358,0.188717,0.00401533,0.00442542,0.00160675,0.000878054,0.0024848,0.00844076
3,0.715429,0.268114,0.00549893,0.00636144,0.00338104,0.00121523,0.00459626,0.0118604
4,0.637742,0.338384,0.00737165,0.00895112,0.00592436,0.00162701,0.00755136,0.0163228
5,0.566432,0.399948,0.0096799,0.0123381,0.00934922,0.00225293,0.0116022,0.022018
6,0.500761,0.453072,0.0124553,0.0166676,0.0137738,0.00327085,0.0170446,0.0291228
7,0.44013,0.497879,0.015705,0.0220713,0.0193099,0.00490473,0.0242146,0.0377763
8,0.384087,0.534388,0.0194007,0.028647,0.0260493,0.0074286,0.0334779,0.0480476
9,0.332327,0.562562,0.0234674,0.0364315,0.0340479,0.0111648,0.0452126,0.0598988
10,0.284696,0.582375,0.0277753,0.045372,0.0433091,0.0164736,0.0597827,0.0731473
11,0.241166,0.593894,0.0321377,0.0552999,0.0537692,0.0237334,0.0775026,0.0874376
12,0.201802,0.597368,0.0363183,0.0659154,0.0652879,0.0333091,0.0985969,0.102234
13,0.166707,0.593293,0.0400517,0.0767913,0.0776458,0.0455114,0.123157,0.116843
14,0.135957,0.582458,0.0430751,0.0874029,0.0905552,0.0605521,0.151107,0.130478
15,0.109542,0.565928,0.0451654,0.0971821,0.103681,0.0785027,0.182183,0.142347
16,0.0873211,0.544979,0.0461755,0.105589,0.11667,0.0992653,0.215936,0.151764
17,0.0690158,0.52099,0.0460563,0.11218,0.129192,0.122566,0.251758,0.158236
18,0.0542267,0.495308,0.0448619,0.116666,0.140962,0.147974,0.288936,0.161528
19,0.0424791,0.469142,0.0427344,0.118933,0.151771,0.174941,0.326711,0.161668
20,0.0332731,0.443474,0.0398756,0.119037,0.161488,0.202852,0.36434,0.158912
21,0.0261292,0.419033,0.0365138,0.117171,0.17006,0.231092,0.401152,0.153685
22,0.0206183,0.396297,0.0328734,0.113627,0.177502,0.259083,0.436585,0.1465
23,0.0163771,0.375529,0.0291523,0.10874,0.183871,0.286331,0.470202,0.137892
24,0.0131103,0.356824,0.0255101,0.102859,0.18926,0.312436,0.501696,0.128369
25,0.0105854,0.340158,0.0220633,0.0963113,0.193776,0.337106,0.530882,0.118375
26,0.0086233,0.325429,0.0188884,0.0893848,0.197529,0.360146,0.557675,0.108273
27,0.00708781,0.312488,0.0160275,0.0823216,0.200629,0.381446,0.582075,0.0983491
28,0.00587653,0.301168,0.0134956,0.0753138,0.203176,0.40097,0.604146,0.0888094
29,0.00491273,0.291297,0.011288,0.0685075,0.205259,0.418736,0.623995,0.0797956
30,0.00413896,0.282705,0.00938725,0.0620075,0.206958,0.434803,0.641761,0.0713947
31,0.00351215,0.275239,0.00776765,0.0558837,0.208339,0.449259,0.657598,0.0636514
32,0.00299988,0.268754,0.00639977,0.0501783,0.209459,0.462209,0.671668,0.0565781
33,0.00257764,0.263126,0.0052531,0.0449111,0.210366,0.473767,0.684132,0.0501642
34,0.00222674,0.258241,0.00429794,0.0400855,0.211099,0.48405,0.695149,0.0443834
35,0.0019329,0.254,0.00350662,0.0356926,0.211691,0.493177,0.704868,0.0391992
36,0.00168505,0.250318,0.00285404,0.031715,0.212168,0.501259,0.713427,0.0345691
37,0.0014746,0.247121,0.00231802,0.02813,0.212553,0.508403,0.720956,0.030448
38,0.00129482,0.244343,0.00187922,0.0249111,0.212863,0.514708,0.727572,0.0267903
39,0.00114037,0.241929,0.00152107,0.0220306,0.213113,0.520266,0.733379,0.0235517
40,0.001007,0.23983,0.00122947,0.0194602,0.213314,0.52516,0.738474,0.0206897
41,0.000891303,0.238004,0.000992583,0.0171721,0.213475,0.529465,0.74294,0.0181646
42,0.000790521,0.236415,0.000800497,0.0151394,0.213605,0.53325,0.746855,0.0159399
43,0.000702401,0.235032,0.000644996,0.0133369,0.21371,0.536574,0.750284,0.0139819
44,0.000625093,0.233827,0.000519288,0.0117411,0.213794,0.539494,0.753287,0.0122604
45,0.00055707,0.232778,0.000417791,0.0103301,0.213861,0.542056,0.755917,0.0107479
46,0.000497055,0.231864,0.000335928,0.00908397,0.213915,0.544304,0.758219,0.0094199
47,0.00044398,0.231067,0.000269964,0.00798457,0.213959,0.546276,0.760234,0.00825453
48,0.000396946,0.230372,0.000216852,0.00701545,0.213993,0.548005,0.761998,0.0072323
49,0.000355186,0.229767,0.000174119,0.00616184,0.214021,0.549521,0.763542,0.00633596
50,0.000318048,0.229238,0.000139758,0.00541047,0.214044,0.55085,0.764893,0.00555023
51,0.000284974,0.228777,0.000112143,0.00474947,0.214062,0.552014,0.766076,0.00486161
52,0.00025548,0.228375,9.00E-05,0.00416826,0.214076,0.553035,0.767111,0.00425822
53,0.000229149,0.228024,7.21E-05,0.00365745,0.214088,0.553929,0.768017,0.00372959
54,0.000205619,0.227718,5.79E-05,0.00320866,0.214097,0.554713,0.76881,0.00326651
55,0.000184574,0.227451,4.64E-05,0.00281451,0.214105,0.555399,0.769504,0.00286089
56,0.000165737,0.227217,3.72E-05,0.00246845,0.214111,0.556001,0.770111,0.00250562
57,0.000148865,0.227014,2.98E-05,0.00216468,0.214115,0.556528,0.770643,0.00219447
58,0.000133743,0.226836,2.39E-05,0.00189809,0.214119,0.556989,0.771109,0.00192197
59,0.000120184,0.22668,1.91E-05,0.00166419,0.214122,0.557394,0.771516,0.00168332
60,0.00010802,0.226545,1.53E-05,0.00145899,0.214125,0.557748,0.771873,0.00147432
61,9.71E-05,0.226426,1.23E-05,0.00127901,0.214127,0.558058,0.772185,0.00129129
62,8.73E-05,0.226323,9.84E-06,0.00112116,0.214128,0.55833,0.772459,0.00113099
63,7.85E-05,0.226233,7.88E-06,0.000982734,0.21413,0.558569,0.772698,0.000990613
64,7.06E-05,0.226154,6.31E-06,0.000861361,0.214131,0.558777,0.772908,0.000867673
65,6.35E-05,0.226085,5.06E-06,0.000754948,0.214131,0.55896,0.773091,0.000760004
66,5.71E-05,0.226025,4.05E-06,0.000661657,0.214132,0.55912,0.773252,0.000665706
67,5.14E-05,0.225973,3.24E-06,0.000579876,0.214132,0.55926,0.773393,0.000583119
68,4.62E-05,0.225927,2.60E-06,0.000508189,0.214133,0.559383,0.773516,0.000510786
69,4.16E-05,0.225887,2.08E-06,0.000445354,0.214133,0.559491,0.773624,0.000447433
70,3.74E-05,0.225852,1.67E-06,0.000390279,0.214133,0.559585,0.773719,0.000391945
71,3.37E-05,0.225821,1.33E-06,0.000342009,0.214134,0.559668,0.773802,0.000343343
72,3.03E-05,0.225795,1.07E-06,0.000299704,0.214134,0.55974,0.773874,0.000300772
73,2.72E-05,0.225772,8.55E-07,0.000262628,0.214134,0.559804,0.773938,0.000263483
74,2.45E-05,0.225751,6.85E-07,0.000230136,0.214134,0.559859,0.773993,0.00023082
75,2.21E-05,0.225734,5.48E-07,0.000201661,0.214134,0.559908,0.774042,0.000202209
76,1.98E-05,0.225718,4.39E-07,0.000176708,0.214134,0.559951,0.774085,0.000177147
77,1.79E-05,0.225705,3.52E-07,0.000154841,0.214134,0.559988,0.774122,0.000155193
78,1.61E-05,0.225693,2.82E-07,0.000135679,0.214134,0.560021,0.774155,0.000135961
79,1.45E-05,0.225683,2.25E-07,0.000118888,0.214134,0.560049,0.774184,0.000119113
80,1.30E-05,0.225674,1.80E-07,0.000104174,0.214134,0.560074,0.774209,0.000104354
