i,S,V,Ip(e1=e2=0.90),Im(e1=e2=0.90),Rs,Rv,P,I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0005043,0.0005043,0.0010086,0.00587781
2,0.800358,0.188904,0.00392018,0.00433271,0.00160675,0.000878054,0.0024848,0.00825289
3,0.715538,0.268815,0.00512217,0.00597541,0.00338104,0.00116776,0.00454879,0.0110976
4,0.638235,0.34013,0.0064097,0.00791338,0.00589679,0.00141514,0.00731193,0.0143231
5,0.567793,0.403564,0.00769728,0.0100836,0.00920187,0.00165976,0.0108616,0.0177809
6,0.503707,0.45977,0.00888843,0.0123877,0.0133071,0.00193979,0.0152469,0.0212761
7,0.445581,0.50936,0.00988975,0.0147011,0.0181762,0.00229147,0.0204676,0.0245909
8,0.393096,0.55292,0.0106251,0.0168885,0.023723,0.00274727,0.0264702,0.0275137
9,0.345964,0.591018,0.0110467,0.0188208,0.0298164,0.00333372,0.0331501,0.0298676
10,0.303896,0.624211,0.0111401,0.0203918,0.0362921,0.00406913,0.0403613,0.0315319
11,0.266579,0.653037,0.010923,0.0215293,0.0429692,0.00496216,0.0479313,0.0324523
12,0.233669,0.678014,0.0104388,0.0222005,0.0496665,0.00601123,0.0556777,0.0326393
13,0.204791,0.699628,0.00974707,0.0224101,0.0562185,0.00720521,0.0634237,0.0321572
14,0.179555,0.718327,0.00891327,0.0221938,0.0624861,0.00852498,0.0710111,0.0311071
15,0.157566,0.734517,0.00800049,0.0216089,0.0683627,0.0099456,0.0783082,0.0296094
16,0.13844,0.748557,0.00706357,0.0207247,0.0737754,0.0114388,0.0852143,0.0277883
17,0.121819,0.760761,0.00614603,0.0196142,0.0786835,0.0129754,0.0916589,0.0257602
18,0.107373,0.7714,0.00527936,0.0183473,0.0830732,0.014527,0.0976001,0.0236266
19,0.0948052,0.780704,0.00448392,0.0169866,0.086952,0.0160679,0.10302,0.0214706
20,0.0838563,0.788868,0.00377066,0.0155856,0.0903436,0.0175756,0.107919,0.0193563
21,0.0743001,0.796056,0.0031433,0.0141873,0.093282,0.0190317,0.112314,0.0173306
22,0.0659416,0.802404,0.00260027,0.0128248,0.0958073,0.0204218,0.116229,0.0154251
23,0.0586141,0.808029,0.00213657,0.0115224,0.0979625,0.0217353,0.119698,0.0136589
24,0.0521756,0.813027,0.00174513,0.0102965,0.0997904,0.0229653,0.122756,0.0120416
25,0.0465053,0.817479,0.00141793,0.00915737,0.101332,0.0241078,0.12544,0.0105753
26,0.0415004,0.821455,0.00114674,0.00811007,0.102627,0.0251613,0.127788,0.00925681
27,0.0370736,0.825011,0.000923605,0.00715585,0.103709,0.0261267,0.129836,0.00807946
28,0.0331505,0.828199,0.000741178,0.00629309,0.10461,0.0270062,0.131617,0.00703427
29,0.0296675,0.83106,0.000592857,0.00551815,0.105358,0.0278034,0.133162,0.00611101
30,0.0265702,0.833631,0.000472852,0.00482604,0.105977,0.0285225,0.1345,0.00529889
31,0.0238118,0.835944,0.00037617,0.00421094,0.106488,0.0291686,0.135657,0.00458711
32,0.0213519,0.838027,0.000298572,0.00366664,0.106909,0.0297469,0.136656,0.00396521
33,0.0191558,0.839904,0.000236496,0.0031868,0.107254,0.0302627,0.137517,0.0034233
34,0.017193,0.841596,0.000186985,0.00276519,0.107537,0.0307213,0.138259,0.00295217
35,0.0154372,0.843122,0.000147597,0.00239581,0.107769,0.031128,0.138897,0.00254341
36,0.0138652,0.8445,0.000116336,0.00207303,0.107958,0.0314876,0.139446,0.00218937
37,0.0124568,0.845743,9.16E-05,0.00179162,0.108113,0.0318048,0.139917,0.00188319
38,0.0111943,0.846865,7.20E-05,0.00154676,0.108238,0.0320841,0.140322,0.00161877
39,0.0100618,0.847878,5.66E-05,0.0013341,0.10834,0.0323294,0.14067,0.00139065
40,0.00904556,0.848792,4.44E-05,0.0011497,0.108423,0.0325446,0.140968,0.00119407
41,0.00813323,0.849618,3.48E-05,0.000990024,0.108491,0.0327329,0.141224,0.00102481
42,0.00731391,0.850364,2.73E-05,0.00085194,0.108545,0.0328975,0.141443,0.000879194
43,0.00657789,0.851038,2.13E-05,0.000732662,0.108589,0.0330412,0.14163,0.000753999
44,0.00591654,0.851646,1.67E-05,0.000629734,0.108625,0.0331664,0.141791,0.000646428
45,0.00532213,0.852195,1.31E-05,0.000540996,0.108654,0.0332754,0.141929,0.00055405
46,0.0047878,0.85269,1.02E-05,0.000464555,0.108677,0.0333701,0.142047,0.000474757
47,0.00430738,0.853138,7.97E-06,0.000398753,0.108696,0.0334524,0.142148,0.000406724
48,0.00387538,0.853542,6.22E-06,0.000342148,0.108711,0.0335238,0.142234,0.000348372
49,0.00348687,0.853906,4.86E-06,0.000293483,0.108723,0.0335857,0.142308,0.000298342
50,0.00313744,0.854235,3.79E-06,0.000251666,0.108733,0.0336393,0.142372,0.000255457
51,0.00282312,0.854532,2.96E-06,0.00021575,0.10874,0.0336856,0.142426,0.000218708
52,0.00254036,0.8548,2.31E-06,0.000184916,0.108747,0.0337257,0.142472,0.000187223
53,0.00228598,0.855042,1.80E-06,0.000158455,0.108752,0.0337603,0.142512,0.000160254
54,0.00205712,0.85526,1.40E-06,0.000135755,0.108756,0.0337902,0.142546,0.000137157
55,0.00185121,0.855456,1.09E-06,0.000116286,0.108759,0.033816,0.142575,0.000117379
56,0.00166593,0.855634,8.52E-07,9.96E-05,0.108762,0.0338383,0.1426,0.000100446
57,0.00149922,0.855794,6.64E-07,8.53E-05,0.108764,0.0338575,0.142621,8.60E-05
58,0.0013492,0.855938,5.17E-07,7.30E-05,0.108765,0.033874,0.142639,7.35E-05
59,0.00121421,0.856068,4.03E-07,6.25E-05,0.108767,0.0338882,0.142655,6.29E-05
60,0.00109273,0.856185,3.14E-07,5.35E-05,0.108768,0.0339004,0.142668,5.38E-05
61,0.000983419,0.856291,2.44E-07,4.58E-05,0.108769,0.033911,0.14268,4.61E-05
62,0.000885044,0.856386,1.90E-07,3.92E-05,0.108769,0.03392,0.142689,3.94E-05
63,0.000796515,0.856472,1.48E-07,3.36E-05,0.10877,0.0339278,0.142698,3.37E-05
64,0.000716844,0.856549,1.15E-07,2.87E-05,0.10877,0.0339345,0.142705,2.88E-05
65,0.000645145,0.856619,8.98E-08,2.46E-05,0.108771,0.0339402,0.142711,2.47E-05
66,0.000580619,0.856682,6.99E-08,2.10E-05,0.108771,0.0339452,0.142716,2.11E-05
67,0.000522548,0.856739,5.44E-08,1.80E-05,0.108771,0.0339494,0.142721,1.80E-05
68,0.000470287,0.85679,4.24E-08,1.54E-05,0.108771,0.033953,0.142724,1.54E-05
69,0.000423253,0.856836,3.30E-08,1.32E-05,0.108772,0.0339562,0.142728,1.32E-05
70,0.000380923,0.856877,2.57E-08,1.13E-05,0.108772,0.0339588,0.142731,1.13E-05
71,0.000342828,0.856915,2.00E-08,9.64E-06,0.108772,0.0339611,0.142733,9.66E-06
72,0.000308543,0.856948,1.56E-08,8.25E-06,0.108772,0.0339631,0.142735,8.26E-06
73,0.000277687,0.856979,1.21E-08,7.05E-06,0.108772,0.0339648,0.142737,7.07E-06
74,0.000249917,0.857006,9.42E-09,6.03E-06,0.108772,0.0339662,0.142738,6.04E-06
75,0.000224924,0.85703,7.33E-09,5.16E-06,0.108772,0.0339675,0.142739,5.17E-06
76,0.000202431,0.857053,5.71E-09,4.42E-06,0.108772,0.0339685,0.142741,4.42E-06
77,0.000182187,0.857073,4.44E-09,3.78E-06,0.108772,0.0339695,0.142741,3.78E-06
78,0.000163968,0.857091,3.46E-09,3.23E-06,0.108772,0.0339702,0.142742,3.23E-06
79,0.000147571,0.857107,2.69E-09,2.76E-06,0.108772,0.0339709,0.142743,2.77E-06
80,0.000132813,0.857121,2.09E-09,2.36E-06,0.108772,0.0339715,0.142744,2.37E-06
