i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.50)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.496396,0.498,0.00222116,0.0023738,0.0005043,0.0005043,0.0010086,0.00459496
2,0.24728,0.745281,0.00247749,0.00280058,0.00128288,0.000878054,0.00216094,0.00527807
3,0.123115,0.867345,0.0027683,0.00329304,0.00209109,0.00138742,0.00347851,0.00606134
4,0.0612574,0.926799,0.00309461,0.00386409,0.00282338,0.00216191,0.00498528,0.0069587
5,0.0304573,0.954849,0.00345838,0.00452748,0.00344398,0.00326427,0.00670825,0.00798587
6,0.0151308,0.967031,0.00386213,0.00529813,0.00395027,0.00472763,0.0086779,0.00916027
7,0.00750969,0.971061,0.00430861,0.00619247,0.00435375,0.00657482,0.0109286,0.0105011
8,0.00372315,0.970749,0.00480062,0.00722856,0.00467054,0.00882836,0.0134989,0.0120292
9,0.00184357,0.967957,0.00534082,0.00842621,0.0049169,0.0115152,0.0164321,0.013767
10,0.000911588,0.963574,0.00593152,0.00980686,0.00510733,0.0146692,0.0197765,0.0157384
11,0.00045003,0.957997,0.00657449,0.0113935,0.00525399,0.0183315,0.0235855,0.0179679
12,0.000221767,0.95138,0.00727064,0.0132101,0.00536671,0.0225511,0.0279178,0.0204807
13,0.000109059,0.943752,0.00801981,0.0152814,0.00545328,0.0273843,0.0328376,0.0233012
14,5.35E-05,0.93508,0.00882032,0.0176317,0.00551977,0.0328944,0.0384142,0.0264521
15,2.62E-05,0.9253,0.00966868,0.0202841,0.00557086,0.0391506,0.0447215,0.0299528
16,1.28E-05,0.914332,0.0105591,0.0232585,0.00561016,0.0462271,0.0518373,0.0338177
17,6.22E-06,0.902098,0.0114833,0.0265704,0.00564042,0.0542014,0.0598418,0.0380537
18,3.01E-06,0.888523,0.0124299,0.0302282,0.00566377,0.0631525,0.0688162,0.042658
19,1.45E-06,0.873544,0.0133841,0.0342308,0.0056818,0.0731583,0.0788401,0.047615
20,7.00E-07,0.857118,0.0143281,0.0385653,0.00569575,0.0842926,0.0899883,0.0528934
21,3.35E-07,0.839227,0.0152407,0.0432038,0.00570655,0.0966215,0.102328,0.0584445
22,1.60E-07,0.819886,0.0160978,0.0481015,0.00571493,0.110199,0.115914,0.0641992
23,7.57E-08,0.799147,0.0168734,0.0531947,0.00572145,0.125064,0.130785,0.0700682
24,3.57E-08,0.7771,0.0175407,0.0584009,0.00572651,0.141232,0.146958,0.0759416
25,1.68E-08,0.753882,0.0180732,0.063619,0.00573046,0.158695,0.164425,0.0816922
26,7.84E-09,0.729671,0.0184472,0.0687324,0.00573354,0.177416,0.18315,0.0871796
27,3.65E-09,0.704681,0.0186429,0.0736136,0.00573594,0.197327,0.203063,0.0922565
28,1.69E-09,0.67916,0.0186466,0.0781305,0.00573782,0.218326,0.224063,0.0967771
29,7.79E-10,0.653376,0.0184521,0.0821538,0.00573929,0.240279,0.246018,0.100606
30,3.58E-10,0.627608,0.0180615,0.0855657,0.00574044,0.263024,0.268764,0.103627
31,1.64E-10,0.602131,0.0174853,0.088267,0.00574134,0.286375,0.292116,0.105752
32,7.51E-11,0.577204,0.016742,0.0901845,0.00574204,0.310127,0.315869,0.106927
33,3.43E-11,0.55306,0.0158564,0.0912748,0.0057426,0.334066,0.339808,0.107131
34,1.57E-11,0.529897,0.0148583,0.0915265,0.00574303,0.357975,0.363718,0.106385
35,7.18E-12,0.507873,0.0137796,0.0909595,0.00574338,0.381645,0.387388,0.104739
36,3.29E-12,0.487103,0.0126528,0.0896218,0.00574364,0.404878,0.410622,0.102275
37,1.51E-12,0.467664,0.0115087,0.0875843,0.00574385,0.4275,0.433243,0.099093
38,6.95E-13,0.449591,0.0103749,0.084935,0.00574402,0.449355,0.455099,0.0953099
39,3.21E-13,0.432889,0.0092747,0.0817726,0.00574415,0.470319,0.476063,0.0910473
40,1.49E-13,0.417536,0.00822665,0.0782001,0.00574425,0.490293,0.496038,0.0864268
41,6.92E-14,0.403485,0.00724442,0.0743196,0.00574433,0.509206,0.514951,0.081564
42,3.24E-14,0.390678,0.00633706,0.0702281,0.0057444,0.527013,0.532757,0.0765652
43,1.52E-14,0.379042,0.00550955,0.0660142,0.00574445,0.543689,0.549434,0.0715238
44,7.16E-15,0.368502,0.0047634,0.0617563,0.00574449,0.559234,0.564979,0.0665197
45,3.39E-15,0.358975,0.00409739,0.0575214,0.00574452,0.573662,0.579406,0.0616188
46,1.61E-15,0.350381,0.00350823,0.0533651,0.00574454,0.587001,0.592745,0.0568734
47,7.69E-16,0.342643,0.00299124,0.0493319,0.00574456,0.59929,0.605034,0.0523232
48,3.68E-16,0.335683,0.00254079,0.045456,0.00574458,0.610576,0.616321,0.0479968
49,1.77E-16,0.32943,0.00215081,0.0417623,0.00574459,0.620912,0.626657,0.0439131
50,8.55E-17,0.323817,0.00181508,0.0382678,0.0057446,0.630355,0.6361,0.0400829
51,4.14E-17,0.318783,0.00152752,0.0349827,0.00574461,0.638962,0.644707,0.0365102
52,2.01E-17,0.31427,0.00128231,0.0319116,0.00574461,0.646791,0.652536,0.0331939
53,9.77E-18,0.310226,0.00107406,0.0290544,0.00574462,0.653901,0.659645,0.0301284
54,4.77E-18,0.306604,0.000897814,0.0264076,0.00574462,0.660346,0.666091,0.0273054
55,2.33E-18,0.30336,0.000749136,0.023965,0.00574462,0.666182,0.671926,0.0247141
56,1.14E-18,0.300455,0.000624067,0.0217182,0.00574463,0.671458,0.677203,0.0223423
57,5.61E-19,0.297855,0.000519124,0.0196577,0.00574463,0.676224,0.681968,0.0201768
58,2.76E-19,0.295528,0.000431266,0.017773,0.00574463,0.680524,0.686268,0.0182042
59,1.36E-19,0.293444,0.000357859,0.0160529,0.00574463,0.6844,0.690145,0.0164108
60,6.71E-20,0.29158,0.000296636,0.0144864,0.00574463,0.687892,0.693637,0.014783
61,3.32E-20,0.289911,0.000245657,0.0130623,0.00574463,0.691036,0.696781,0.013308
62,1.64E-20,0.288418,0.000203269,0.0117698,0.00574463,0.693864,0.699609,0.0119731
63,8.13E-21,0.287082,0.000168068,0.0105984,0.00574463,0.696407,0.702152,0.0107665
64,4.03E-21,0.285886,0.000138869,0.00953812,0.00574463,0.698693,0.704437,0.00967699
65,2.00E-21,0.284815,0.000114674,0.00857949,0.00574463,0.700746,0.706491,0.00869416
