i,S,V,Ip,Im,Rs,Rv,P,I(e1=e2=0.10),I(e1=e2=0.50),I(e1=e2=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004,0.004,0.004
1,0.0992793,0.8964,0.00157495,0.00173716,0.0005043,0.0005043,0.0010086,0.00331211,0.00331211,0.00331211
2,0.00990147,0.98361,0.00218411,0.00246774,0.00095902,0.000878054,0.00183707,0.00465185,0.00369996,0.00274807
3,0.000986441,0.989222,0.00315586,0.00363766,0.00130346,0.00169491,0.00299837,0.00679352,0.00423975,0.00228479
4,9.81E-05,0.985266,0.00457095,0.00537385,0.00156104,0.00313049,0.00469153,0.0099448,0.00487046,0.00190354
5,9.73E-06,0.978294,0.00660667,0.00792351,0.00175367,0.0054124,0.00716607,0.0145302,0.00559599,0.00158913
6,9.62E-07,0.968065,0.00951445,0.0116444,0.00189809,0.00887757,0.0107757,0.0211588,0.00642876,0.00132932
7,9.45E-08,0.953318,0.0136291,0.0170297,0.00200668,0.0140165,0.0160232,0.0306588,0.00738361,0.00111416
8,9.22E-09,0.932283,0.0193724,0.0247309,0.00208857,0.0215253,0.0236139,0.0441033,0.00847716,0.000935608
9,8.89E-10,0.902703,0.0272304,0.0355529,0.0021505,0.0323635,0.034514,0.0627834,0.00972784,0.000787127
10,8.45E-11,0.861947,0.0376721,0.0503789,0.00219748,0.0478049,0.0500024,0.088051,0.0111559,0.000663395
11,7.85E-12,0.807393,0.0509666,0.0699589,0.0022332,0.0694484,0.0716816,0.120926,0.0127832,0.000560077
12,7.08E-13,0.737246,0.0668684,0.0944938,0.00226044,0.099131,0.101391,0.161362,0.0146332,0.000473632
13,6.17E-14,0.651821,0.0842149,0.123022,0.00228127,0.138661,0.140942,0.207237,0.0167308,0.000401163
14,5.14E-15,0.554881,0.100668,0.152851,0.00229722,0.189303,0.1916,0.253519,0.0191013,0.000340294
15,4.09E-16,0.453999,0.113019,0.179605,0.00230948,0.251068,0.253377,0.292624,0.0217701,0.000289075
16,3.13E-17,0.358803,0.118338,0.198436,0.00231892,0.322104,0.324423,0.316774,0.0247618,0.000245899
17,2.33E-18,0.277438,0.115462,0.206099,0.0023262,0.398675,0.401001,0.321561,0.0280984,0.000209439
18,1.73E-19,0.213642,0.105613,0.202392,0.00233182,0.476021,0.478353,0.308005,0.031798,0.000178602
19,1.30E-20,0.166645,0.0915522,0.189769,0.00233618,0.549698,0.552034,0.281321,0.0358725,0.000152478
20,1.01E-21,0.133206,0.0761379,0.171729,0.00233955,0.616588,0.618928,0.247866,0.0403252,0.000130313
21,8.07E-23,0.109688,0.0614101,0.151408,0.00234218,0.675151,0.677494,0.212818,0.0451481,0.000111482
22,6.70E-24,0.0930843,0.0484485,0.131015,0.00234422,0.725108,0.727452,0.179464,0.0503189,9.55E-05
23,5.73E-25,0.0812189,0.0376195,0.111855,0.00234581,0.766961,0.769306,0.149475,0.0557986,8.18E-05
24,5.04E-26,0.072608,0.0288764,0.094574,0.00234704,0.801595,0.803942,0.12345,0.0615286,7.02E-05
25,4.55E-27,0.0662589,0.0219788,0.0793962,0.00234801,0.830018,0.832366,0.101375,0.0674295,6.02E-05
26,4.18E-28,0.0615072,0.0166242,0.0663034,0.00234877,0.853216,0.855565,0.0829276,0.0734008,5.17E-05
27,3.90E-29,0.0579035,0.0125149,0.0551506,0.00234936,0.872082,0.874431,0.0676655,0.0793221,4.45E-05
28,3.69E-30,0.0551386,0.00938755,0.0457355,0.00234982,0.887389,0.889738,0.055123,0.0850566,3.82E-05
29,3.52E-31,0.0529961,0.00702224,0.0378397,0.00235018,0.899792,0.902142,0.0448619,0.0904567,3.29E-05
30,3.40E-32,0.051322,0.00524162,0.0312506,0.00235047,0.909835,0.912186,0.0364923,0.0953715,2.83E-05
31,3.30E-33,0.0500045,0.00390593,0.0257725,0.00235069,0.917966,0.920317,0.0296785,0.0996553,2.44E-05
32,3.22E-34,0.0489615,0.00290675,0.0212311,0.00235087,0.92455,0.926901,0.0241379,0.103178,2.10E-05
33,3.16E-35,0.0481316,0.00216089,0.0174745,0.002351,0.929882,0.932233,0.0196354,0.105832,1.81E-05
34,3.11E-36,0.0474685,0.00160508,0.0143725,0.00235111,0.934203,0.936554,0.0159776,0.107542,1.56E-05
35,3.07E-37,0.0469367,0.00119143,0.0118146,0.0023512,0.937706,0.940057,0.013006,0.10827,1.35E-05
36,3.04E-38,0.046509,0.000883907,0.00970749,0.00235126,0.940548,0.9429,0.0105914,0.108014,1.16E-05
37,3.01E-39,0.0461641,0.000655477,0.00797331,0.00235132,0.942856,0.945207,0.00862879,0.106809,1.00E-05
38,2.99E-40,0.0458853,0.000485911,0.00654702,0.00235136,0.94473,0.947082,0.00703293,0.104724,8.68E-06
39,2.97E-41,0.0456596,0.000360109,0.00537459,0.00235139,0.946254,0.948606,0.0057347,0.101852,7.49E-06
40,2.96E-42,0.0454766,0.000266816,0.00441128,0.00235141,0.947494,0.949845,0.0046781,0.0983042,6.47E-06
41,2.95E-43,0.0453279,0.000197656,0.00362006,0.00235143,0.948503,0.950854,0.00381772,0.094204,5.59E-06
42,2.94E-44,0.045207,0.0001464,0.00297039,0.00235145,0.949325,0.951676,0.00311679,0.0896764,4.83E-06
43,2.93E-45,0.0451087,0.000108423,0.00243706,0.00235146,0.949994,0.952346,0.00254548,0.0848437,4.18E-06
44,2.93E-46,0.0450285,8.03E-05,0.00199932,0.00235147,0.95054,0.952892,0.00207961,0.0798199,3.61E-06
45,2.92E-47,0.0449632,5.95E-05,0.00164009,0.00235148,0.950986,0.953337,0.00169954,0.0747074,3.12E-06
46,2.92E-48,0.0449099,4.40E-05,0.00134534,0.00235149,0.951349,0.953701,0.00138935,0.0695952,2.70E-06
47,2.91E-49,0.0448663,3.26E-05,0.0011035,0.00235149,0.951646,0.953998,0.00113609,0.0645577,2.33E-06
48,2.91E-50,0.0448308,2.41E-05,0.000905109,0.0023515,0.951888,0.95424,0.000929236,0.0596552,2.02E-06
49,2.91E-51,0.0448018,1.79E-05,0.00074236,0.0023515,0.952087,0.954438,0.000760222,0.0549345,1.75E-06
50,2.91E-52,0.044778,1.32E-05,0.00060886,0.0023515,0.952248,0.9546,0.000622083,0.05043,1.51E-06
51,2.91E-53,0.0447586,9.79E-06,0.000499358,0.0023515,0.952381,0.954732,0.000509147,0.0461658,1.31E-06
52,2.90E-54,0.0447427,7.25E-06,0.000409543,0.0023515,0.952489,0.95484,0.000416789,0.0421564,1.13E-06
53,2.90E-55,0.0447297,5.36E-06,0.000335877,0.00235151,0.952578,0.954929,0.000341241,0.0384092,9.78E-07
54,2.90E-56,0.0447191,3.97E-06,0.000275459,0.00235151,0.95265,0.955001,0.00027943,0.0349251,8.46E-07
55,2.90E-57,0.0447104,2.94E-06,0.000225907,0.00235151,0.952709,0.955061,0.000228846,0.0317003,7.32E-07
56,2.90E-58,0.0447033,2.18E-06,0.000185268,0.00235151,0.952758,0.955109,0.000187443,0.0287274,6.34E-07
57,2.90E-59,0.0446975,1.61E-06,0.000151938,0.00235151,0.952797,0.955149,0.000153548,0.0259964,5.48E-07
58,2.90E-60,0.0446927,1.19E-06,0.000124604,0.00235151,0.95283,0.955182,0.000125796,0.0234952,4.75E-07
59,2.90E-61,0.0446888,8.82E-07,0.000102187,0.00235151,0.952857,0.955208,0.000103069,0.0212107,4.11E-07
60,2.90E-62,0.0446856,6.53E-07,8.38E-05,0.00235151,0.952878,0.95523,8.45E-05,0.0191292,3.56E-07
61,2.90E-63,0.0446829,4.83E-07,6.87E-05,0.00235151,0.952896,0.955248,6.92E-05,0.0172365,3.08E-07
62,2.90E-64,0.0446808,3.58E-07,5.64E-05,0.00235151,0.952911,0.955263,5.67E-05,0.0155187,2.66E-07
63,2.90E-65,0.044679,2.65E-07,4.62E-05,0.00235151,0.952923,0.955275,4.65E-05,0.0139622,2.31E-07
64,2.90E-66,0.0446776,1.96E-07,3.79E-05,0.00235151,0.952933,0.955284,3.81E-05,0.012554,2.00E-07
65,2.90E-67,0.0446764,1.45E-07,3.11E-05,0.00235151,0.952941,0.955292,3.12E-05,0.0112814,1.73E-07
66,2.90E-68,0.0446754,1.07E-07,2.55E-05,0.00235151,0.952947,0.955299,2.56E-05,0.0101328,1.50E-07
67,2.90E-69,0.0446746,7.95E-08,2.09E-05,0.00235151,0.952953,0.955304,2.10E-05,0.00909718,1.29E-07
68,2.90E-70,0.044674,5.89E-08,1.71E-05,0.00235151,0.952957,0.955309,1.72E-05,0.00816417,1.12E-07
69,2.90E-71,0.0446734,4.36E-08,1.41E-05,0.00235151,0.952961,0.955312,1.41E-05,0.00732429,9.70E-08
70,2.90E-72,0.044673,3.22E-08,1.15E-05,0.00235151,0.952964,0.955315,1.16E-05,0.00656877,8.40E-08
71,2.90E-73,0.0446726,2.39E-08,9.46E-06,0.00235151,0.952966,0.955318,9.48E-06,0.00588957,7.27E-08
72,2.90E-74,0.0446723,1.77E-08,7.75E-06,0.00235151,0.952968,0.95532,7.77E-06,0.0052793,6.30E-08
73,2.90E-75,0.0446721,1.31E-08,6.36E-06,0.00235151,0.95297,0.955322,6.37E-06,0.00473125,5.45E-08
74,2.90E-76,0.0446719,9.68E-09,5.21E-06,0.00235151,0.952971,0.955323,5.22E-06,0.00423927,4.72E-08
75,2.90E-77,0.0446717,7.16E-09,4.28E-06,0.00235151,0.952972,0.955324,4.28E-06,0.0037978,4.09E-08
76,2.90E-78,0.0446716,5.30E-09,3.51E-06,0.00235151,0.952973,0.955325,3.51E-06,0.00340178,3.54E-08
77,2.90E-79,0.0446715,3.93E-09,2.88E-06,0.00235151,0.952974,0.955326,2.88E-06,0.00304665,3.06E-08
78,2.90E-80,0.0446714,2.91E-09,2.36E-06,0.00235151,0.952975,0.955326,2.36E-06,0.00272827,2.65E-08
