i,S,V,Ip(e1 = 0.10),Im(e1 = 0.10),Rs,Rv,P,I(e1 = 0.10)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.692378,0.00296092,0.00328942,0.00132337,0.000878054,0.00220142,0.00625034
3,0.163716,0.823883,0.00402454,0.00461229,0.00221976,0.00154416,0.00376393,0.00863682
4,0.0894182,0.892426,0.00562385,0.00661457,0.00309341,0.00282411,0.00591751,0.0122384
5,0.0486958,0.924795,0.00796133,0.00958555,0.0039006,0.00506207,0.00896267,0.0175469
6,0.0264046,0.935021,0.0113189,0.0139353,0.00462392,0.00869636,0.0133203,0.0252542
7,0.0142275,0.929904,0.0160668,0.0202214,0.00525905,0.0143214,0.0195805,0.0362882
8,0.00759675,0.912023,0.0226573,0.0291631,0.00580831,0.0227513,0.0285596,0.0518204
9,0.00400408,0.881446,0.0315805,0.0416108,0.00627732,0.0350811,0.0413584,0.0731914
10,0.00207262,0.836862,0.0432434,0.0584208,0.00667318,0.0527277,0.0594008,0.101664
11,0.00104675,0.776651,0.0577309,0.0801602,0.00700345,0.0774075,0.0844109,0.137891
12,0.000511886,0.700196,0.0744395,0.106595,0.0072757,0.110981,0.118257,0.181035
13,0.000240563,0.609425,0.0916994,0.136053,0.00749724,0.155085,0.162582,0.227752
14,0.000108087,0.509954,0.10671,0.165043,0.00767512,0.210509,0.218184,0.271753
15,4.65E-05,0.410653,0.116214,0.18878,0.00781604,0.276491,0.284307,0.304994
16,1.93E-05,0.320963,0.117909,0.202884,0.00792639,0.350298,0.358225,0.320793
17,7.88E-06,0.247297,0.111699,0.20538,0.00801201,0.427604,0.435616,0.317079
18,3.23E-06,0.191257,0.099647,0.19738,0.00807808,0.503635,0.511713,0.297027
19,1.35E-06,0.150707,0.0847086,0.181996,0.00812893,0.574457,0.582586,0.266705
20,5.84E-07,0.122055,0.0694345,0.162677,0.00816806,0.637665,0.645833,0.232111
21,2.62E-07,0.101889,0.0554229,0.142166,0.00819818,0.692324,0.700523,0.197589
22,1.21E-07,0.0875779,0.0434009,0.122246,0.00822141,0.738554,0.746775,0.165647
23,5.77E-08,0.0772802,0.033521,0.1039,0.00823936,0.777059,0.785298,0.137421
24,2.83E-08,0.069752,0.0256314,0.0875634,0.00825324,0.8088,0.817053,0.113195
25,1.41E-08,0.0641625,0.0194541,0.0733367,0.008264,0.834783,0.843047,0.0927907
26,7.19E-09,0.0599532,0.014684,0.0611362,0.00827235,0.855954,0.864227,0.0758202
27,3.72E-09,0.0567432,0.0110372,0.0507864,0.00827884,0.873154,0.881433,0.0618236
28,1.94E-09,0.0542688,0.00826949,0.0420754,0.00828389,0.887102,0.895386,0.0503449
29,1.03E-09,0.0523438,0.0061805,0.034786,0.00828783,0.898402,0.90669,0.0409665
30,5.45E-10,0.0508345,0.00461029,0.0287129,0.0082909,0.907551,0.915842,0.0333232
31,2.92E-10,0.0496434,0.0034338,0.0236699,0.0082933,0.91496,0.923253,0.0271037
32,1.57E-10,0.0486981,0.00255446,0.0194931,0.00829518,0.920959,0.929254,0.0220475
33,8.49E-11,0.0479444,0.0018985,0.0160404,0.00829665,0.92582,0.934117,0.0179389
34,4.60E-11,0.0473412,0.00140991,0.0131909,0.0082978,0.92976,0.938058,0.0146008
35,2.50E-11,0.0468567,0.00104642,0.0108421,0.0082987,0.932956,0.941255,0.0118885
36,1.36E-11,0.0464665,0.000776266,0.00890785,0.0082994,0.93555,0.943849,0.00968411
37,7.44E-12,0.0461515,0.000575629,0.00731625,0.00829996,0.937657,0.945957,0.00789188
38,4.06E-12,0.0458967,0.000426714,0.00600743,0.00830039,0.939369,0.947669,0.00643414
39,2.22E-12,0.0456902,0.000316241,0.00493168,0.00830074,0.940761,0.949062,0.00524792
40,1.22E-12,0.0455226,0.00023432,0.00404786,0.008301,0.941894,0.950195,0.00428218
41,6.68E-13,0.0453864,0.000173591,0.00332196,0.00830122,0.942817,0.951118,0.00349555
42,3.66E-13,0.0452756,0.000128583,0.00272592,0.00830138,0.943569,0.95187,0.0028545
43,2.01E-13,0.0451854,9.52E-05,0.00223661,0.00830151,0.944181,0.952483,0.00233184
44,1.10E-13,0.0451118,7.05E-05,0.00183499,0.00830162,0.944681,0.952983,0.00190552
45,6.06E-14,0.0450518,5.22E-05,0.0015054,0.0083017,0.945089,0.953391,0.00155763
46,3.33E-14,0.0450029,3.87E-05,0.00123494,0.00830176,0.945422,0.953723,0.00127362
47,1.83E-14,0.0449629,2.86E-05,0.00101303,0.00830181,0.945694,0.953995,0.00104167
48,1.00E-14,0.0449303,2.12E-05,0.000830973,0.00830185,0.945916,0.954218,0.000852174
49,5.52E-15,0.0449036,1.57E-05,0.000681612,0.00830188,0.946097,0.954399,0.000697309
50,3.04E-15,0.0448818,1.16E-05,0.000559085,0.00830191,0.946246,0.954548,0.000570707
51,1.67E-15,0.0448639,8.60E-06,0.000458575,0.00830192,0.946367,0.954669,0.000467179
52,9.17E-16,0.0448493,6.37E-06,0.000376129,0.00830194,0.946466,0.954768,0.000382499
53,5.04E-16,0.0448374,4.72E-06,0.000308501,0.00830195,0.946547,0.954849,0.000313217
54,2.77E-16,0.0448276,3.49E-06,0.000253031,0.00830196,0.946614,0.954916,0.000256522
55,1.53E-16,0.0448196,2.58E-06,0.000207532,0.00830197,0.946668,0.95497,0.000210117
56,8.39E-17,0.044813,1.91E-06,0.000170214,0.00830197,0.946713,0.955015,0.000172128
57,4.61E-17,0.0448076,1.42E-06,0.000139606,0.00830198,0.946749,0.955051,0.000141022
58,2.54E-17,0.0448032,1.05E-06,0.000114501,0.00830198,0.946779,0.955081,0.000115549
59,1.39E-17,0.0447996,7.76E-07,9.39E-05,0.00830199,0.946804,0.955106,9.47E-05
60,7.67E-18,0.0447967,5.75E-07,7.70E-05,0.00830199,0.946824,0.955126,7.76E-05
61,4.22E-18,0.0447943,4.25E-07,6.32E-05,0.00830199,0.94684,0.955142,6.36E-05
62,2.32E-18,0.0447923,3.15E-07,5.18E-05,0.00830199,0.946854,0.955156,5.21E-05
63,1.28E-18,0.0447907,2.33E-07,4.25E-05,0.00830199,0.946865,0.955167,4.27E-05
64,7.02E-19,0.0447893,1.73E-07,3.49E-05,0.00830199,0.946874,0.955176,3.50E-05
65,3.86E-19,0.0447882,1.28E-07,2.86E-05,0.00830199,0.946881,0.955183,2.87E-05
66,2.12E-19,0.0447873,9.46E-08,2.34E-05,0.00830199,0.946887,0.955189,2.35E-05
67,1.17E-19,0.0447866,7.00E-08,1.92E-05,0.008302,0.946892,0.955194,1.93E-05
68,6.42E-20,0.044786,5.18E-08,1.58E-05,0.008302,0.946896,0.955198,1.58E-05
69,3.53E-20,0.0447855,3.84E-08,1.29E-05,0.008302,0.9469,0.955202,1.30E-05
70,1.94E-20,0.0447851,2.84E-08,1.06E-05,0.008302,0.946902,0.955204,1.06E-05
71,1.07E-20,0.0447848,2.10E-08,8.70E-06,0.008302,0.946905,0.955207,8.72E-06
72,5.88E-21,0.0447845,1.56E-08,7.14E-06,0.008302,0.946906,0.955208,7.15E-06
73,3.23E-21,0.0447843,1.15E-08,5.85E-06,0.008302,0.946908,0.95521,5.86E-06
74,1.78E-21,0.0447841,8.53E-09,4.80E-06,0.008302,0.946909,0.955211,4.81E-06
75,9.78E-22,0.0447839,6.31E-09,3.94E-06,0.008302,0.94691,0.955212,3.94E-06
76,5.38E-22,0.0447838,4.67E-09,3.23E-06,0.008302,0.946911,0.955213,3.23E-06
77,2.96E-22,0.0447837,3.46E-09,2.65E-06,0.008302,0.946912,0.955214,2.65E-06
78,1.63E-22,0.0447836,2.56E-09,2.17E-06,0.008302,0.946912,0.955214,2.17E-06
79,8.95E-23,0.0447836,1.90E-09,1.78E-06,0.008302,0.946913,0.955215,1.78E-06
80,4.92E-23,0.0447835,1.40E-09,1.46E-06,0.008302,0.946913,0.955215,1.46E-06
