i,S,V,Ip(e1 = 0.50),Im(e1 = 0.50),Rs,Rv,P,I(e1 = 0.50),,,,,,,,,,,
0,0.996,0,0.002,0.002,0,0,0,0.004,,,,,,,,,,,
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532,,,,,,,,,,,
2,0.29917,0.693062,0.00261715,0.00294942,0.00132337,0.000878054,0.00220142,0.00556657,,,,,,,,,,,
3,0.163807,0.826143,0.00295425,0.00350491,0.00221976,0.0013716,0.00359136,0.00645916,,,,,,,,,,,
4,0.0896256,0.89772,0.00332014,0.00413681,0.00307052,0.00212685,0.00519737,0.00745695,,,,,,,,,,,
5,0.0489984,0.935375,0.00372048,0.00486222,0.00382109,0.00322295,0.00704404,0.0085827,,,,,,,,,,,0.004
6,0.0267631,0.954217,0.00416002,0.00569879,0.00445508,0.0047061,0.00916118,0.0098588,,,,,,,,,,,
7,0.014603,0.962505,0.00464286,0.00666511,0.00497576,0.006608,0.0115838,0.011308,,,,,,,,,,,
8,0.00795865,0.964736,0.0051726,0.00778101,0.00539532,0.00895653,0.0143519,0.0129536,,,,,,,,,,,
9,0.00433168,0.963338,0.00575226,0.00906774,0.00572893,0.0117818,0.0175108,0.01482,,,,,,,,,,,
10,0.00235405,0.959603,0.00638421,0.0105479,0.00599174,0.0151195,0.0211112,0.0169321,,,,,,,,,,,
11,0.00127711,0.954198,0.00707003,0.0122453,0.00619738,0.0190119,0.0252093,0.0193153,,,,,,,,,,,
12,0.000691512,0.947447,0.00781022,0.0141844,0.00635756,0.0235091,0.0298667,0.0219946,,,,,,,,,,,
13,0.000373612,0.939482,0.00860389,0.01639,0.00648192,0.0286684,0.0351503,0.0249939,,,,,,,,,,,
14,0.000201362,0.930332,0.00944846,0.0188858,0.00657827,0.0345539,0.0411322,0.0283342,,,,,,,,,,,
15,0.000108229,0.919971,0.0103392,0.0216934,0.00665283,0.0412355,0.0478883,0.0320326,,,,,,,,,,,
16,5.80E-05,0.908344,0.0112689,0.0248306,0.0067105,0.0487876,0.0554981,0.0360994,,,,,,,,,,,
17,3.10E-05,0.89539,0.0122273,0.0283094,0.00675509,0.0572874,0.0640425,0.0405367,,,,,,,,,,,
18,1.65E-05,0.881047,0.0132011,0.0321334,0.00678959,0.0668124,0.073602,0.0453346,,,,,,,,,,,
19,8.73E-06,0.865268,0.0141736,0.0362957,0.00681629,0.0774378,0.0842541,0.0504693,,,,,,,,,,,
20,4.61E-06,0.848026,0.0151244,0.0407757,0.00683697,0.0892326,0.0960696,0.0559002,,,,,,,,,,,
21,2.42E-06,0.829321,0.0160305,0.0455369,0.006853,0.102256,0.109109,0.0615673,,,,,,,,,,,
22,1.27E-06,0.809189,0.0168659,0.0505247,0.00686544,0.116554,0.123419,0.0673905,,,,,,,,,,,
23,6.59E-07,0.787704,0.0176034,0.0556657,0.00687511,0.132152,0.139027,0.073269,,,,,,,,,,,
24,3.41E-07,0.764981,0.0182156,0.0608675,0.00688263,0.149053,0.155935,0.0790831,,,,,,,,,,,
25,1.76E-07,0.741181,0.0186767,0.0660209,0.00688848,0.167232,0.174121,0.0846976,,,,,,,,,,,
26,9.01E-08,0.716503,0.0189644,0.0710032,0.00689304,0.186636,0.193529,0.0899676,,,,,,,,,,,
27,4.60E-08,0.691181,0.0190615,0.0756844,0.0068966,0.207177,0.214073,0.0947459,,,,,,,,,,,
28,2.34E-08,0.665475,0.0189582,0.0799334,0.00689938,0.228734,0.235633,0.0988916,,,,,,,,,,,
29,1.18E-08,0.639661,0.0186524,0.0836268,0.00690155,0.251158,0.25806,0.102279,,,,,,,,,,,
30,5.97E-09,0.614017,0.018151,0.0866565,0.00690325,0.274272,0.281176,0.104808,,,,,,,,,,,
31,3.01E-09,0.58881,0.0174692,0.0889371,0.00690458,0.297879,0.304784,0.106406,,,,,,,,,,,
32,1.51E-09,0.564286,0.0166296,0.0904113,0.00690562,0.321768,0.328673,0.107041,,,,,,,,,,,
33,7.61E-10,0.540659,0.0156605,0.0910529,0.00690644,0.345721,0.352628,0.106713,,,,,,,,,,,
34,3.83E-10,0.518106,0.0145938,0.0908675,0.00690708,0.369526,0.376433,0.105461,,,,,,,,,,,
35,1.93E-10,0.49676,0.0134626,0.0898905,0.00690759,0.392979,0.399886,0.103353,,,,,,,,,,,
36,9.73E-11,0.476716,0.0122995,0.0881824,0.00690798,0.415894,0.422802,0.100482,,,,,,,,,,,
37,4.92E-11,0.458026,0.0111341,0.0858236,0.00690829,0.438108,0.445016,0.0969577,,,,,,,,,,,
38,2.50E-11,0.440709,0.00999253,0.0829079,0.00690854,0.459482,0.46639,0.0929005,,,,,,,,,,,
39,1.27E-11,0.424753,0.0088959,0.0795364,0.00690873,0.479906,0.486815,0.0884323,,,,,,,,,,,
40,6.49E-12,0.410122,0.00786051,0.0758115,0.00690888,0.499297,0.506206,0.083672,,,,,,,,,,,
41,3.33E-12,0.396762,0.00689772,0.0718323,0.006909,0.517599,0.524508,0.07873,,,,,,,,,,,
42,1.72E-12,0.384607,0.00601448,0.0676911,0.00690909,0.534778,0.541687,0.0737056,,,,,,,,,,,
43,8.89E-13,0.373581,0.00521388,0.0634706,0.00690916,0.550825,0.557734,0.0686845,,,,,,,,,,,
44,4.62E-13,0.363606,0.00449591,0.0592428,0.00690922,0.565747,0.572656,0.0637387,,,,,,,,,,,
45,2.41E-13,0.354599,0.00385813,0.0550681,0.00690927,0.579565,0.586475,0.0589263,,,,,,,,,,,
46,1.26E-13,0.346482,0.00329635,0.050996,0.0069093,0.592316,0.599226,0.0542923,,,,,,,,,,,
47,6.65E-14,0.339177,0.00280523,0.047065,0.00690933,0.604043,0.610953,0.0498702,,,,,,,,,,,
48,3.51E-14,0.332611,0.00237874,0.0433041,0.00690936,0.614797,0.621706,0.0456828,,,,,,,,,,,
49,1.86E-14,0.326715,0.00201059,0.0397339,0.00690937,0.624632,0.631541,0.0417445,,,,,,,,,,,
50,9.89E-15,0.321424,0.00169448,0.0363674,0.00690939,0.633605,0.640514,0.0380619,,,,,,,,,,,
51,5.28E-15,0.316679,0.00142433,0.0332118,0.0069094,0.641776,0.648685,0.0346362,,,,,,,,,,,
52,2.82E-15,0.312426,0.00119444,0.0302691,0.00690941,0.649201,0.65611,0.0314636,,,,,,,,,,,
53,1.51E-15,0.308615,0.000999538,0.0275374,0.00690941,0.655938,0.662848,0.028537,,,,,,,,,,,
54,8.13E-16,0.305202,0.000834852,0.0250117,0.00690942,0.662042,0.668951,0.0258465,,,,,,,,,,,
55,4.38E-16,0.302146,0.000696114,0.0226846,0.00690942,0.667564,0.674473,0.0233807,,,,,,,,,,,
56,2.36E-16,0.299409,0.000579545,0.0205473,0.00690943,0.672555,0.679464,0.0211268,,,,,,,,,,,
57,1.28E-16,0.296959,0.000481836,0.0185896,0.00690943,0.67706,0.68397,0.0190714,,,,,,,,,,,
58,6.92E-17,0.294766,0.000400109,0.0168008,0.00690943,0.681124,0.688033,0.0172009,,,,,,,,,,,
59,3.75E-17,0.292803,0.000331878,0.0151699,0.00690943,0.684786,0.691696,0.0155017,,,,,,,,,,,
60,2.04E-17,0.291045,0.000275012,0.0136858,0.00690943,0.688084,0.694994,0.0139608,,,,,,,,,,,
61,1.11E-17,0.289473,0.000227688,0.0123376,0.00690943,0.691053,0.697962,0.0125653,,,,,,,,,,,
62,6.04E-18,0.288065,0.000188358,0.0111147,0.00690944,0.693723,0.700632,0.011303,,,,,,,,,,,
63,3.29E-18,0.286805,0.000155712,0.010007,0.00690944,0.696123,0.703033,0.0101627,,,,,,,,,,,
64,1.80E-18,0.285677,0.000128642,0.00900477,0.00690944,0.69828,0.70519,0.00913341,,,,,,,,,,,
65,9.80E-19,0.284667,0.000106218,0.00809902,0.00690944,0.700218,0.707127,0.00820523,,,,,,,,,,,
66,5.36E-19,0.283764,8.77E-05,0.00728121,0.00690944,0.701958,0.708867,0.00736887,,,,,,,,,,,
67,2.93E-19,0.282955,7.23E-05,0.00654344,0.00690944,0.70352,0.71043,0.00661575,,,,,,,,,,,
68,1.60E-19,0.282231,5.96E-05,0.00587838,0.00690944,0.704922,0.711831,0.005938,,,,,,,,,,,
69,8.77E-20,0.281582,4.91E-05,0.00527926,0.00690944,0.70618,0.713089,0.00532841,,,,,,,,,,,
70,4.80E-20,0.281002,4.05E-05,0.00473989,0.00690944,0.707308,0.714218,0.00478038,,,,,,,,,,,
71,2.63E-20,0.280483,3.34E-05,0.00425456,0.00690944,0.70832,0.71523,0.00428792,,,,,,,,,,,
72,1.44E-20,0.280017,2.75E-05,0.00381807,0.00690944,0.709228,0.716137,0.00384554,,,,,,,,,,,
73,7.91E-21,0.279601,2.26E-05,0.00342567,0.00690944,0.710041,0.716951,0.00344829,,,,,,,,,,,
74,4.34E-21,0.279228,1.86E-05,0.00307306,0.00690944,0.710771,0.71768,0.00309167,,,,,,,,,,,
75,2.38E-21,0.278894,1.53E-05,0.00275629,0.00690944,0.711425,0.718334,0.00277161,,,,,,,,,,,
76,1.31E-21,0.278595,1.26E-05,0.00247182,0.00690944,0.712011,0.71892,0.00248443,,,,,,,,,,,
77,7.17E-22,0.278328,1.04E-05,0.00221643,0.00690944,0.712536,0.719445,0.0022268,,,,,,,,,,,
78,3.94E-22,0.278088,8.53E-06,0.00198719,0.00690944,0.713007,0.719916,0.00199572,,,,,,,,,,,
79,2.16E-22,0.277874,7.02E-06,0.00178148,0.00690944,0.713428,0.720338,0.0017885,,,,,,,,,,,
80,1.19E-22,0.277681,5.77E-06,0.00159691,0.00690944,0.713806,0.720716,0.00160268,,,,,,,,,,,
