i,S,V,Ip(e1 = 0.90),Im(e1 = 0.90),Rs,Rv,P,I(e1=0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004
1,0.546036,0.4482,0.00230193,0.00245338,0.0005043,0.0005043,0.0010086,0.00475532
2,0.29917,0.693065,0.00227337,0.00328942,0.00132337,0.000878054,0.00220142,0.00556279
3,0.163808,0.825975,0.00204121,0.00461386,0.00221976,0.00134251,0.00356227,0.00665507
4,0.0896131,0.896897,0.00173211,0.00662373,0.0030665,0.00206798,0.00513448,0.00835584
5,0.0489571,0.93296,0.00142273,0.00961998,0.00381228,0.00322784,0.00704012,0.0110427
6,0.0266884,0.948636,0.00114708,0.0140411,0.00444692,0.0050403,0.00948722,0.0151882
7,0.0145003,0.951289,0.000914939,0.0205097,0.00497818,0.00780815,0.0127863,0.0214247
8,0.00783854,0.944168,0.000725007,0.0298864,0.00541962,0.0119626,0.0173822,0.0306115
9,0.00420572,0.928007,0.000571919,0.0433145,0.00578525,0.0181157,0.0239009,0.0438864
10,0.00223202,0.901891,0.000449459,0.0622196,0.0060876,0.0271204,0.033208,0.0626691
11,0.00116613,0.863822,0.000351847,0.0881918,0.00633721,0.040131,0.0464682,0.0885436
12,0.000595996,0.811322,0.000274151,0.122628,0.0065428,0.058637,0.0651798,0.122902
13,0.000295607,0.742355,0.000212343,0.166002,0.0067115,0.0844233,0.0911348,0.166214
14,0.000140992,0.656743,0.000163222,0.21673,0.00684921,0.119374,0.126223,0.216893
15,6.41E-05,0.557774,0.000124288,0.270036,0.00696088,0.16504,0.172001,0.27016
16,2.76E-05,0.453012,9.36E-05,0.317852,0.00705072,0.221965,0.229015,0.317945
17,1.13E-05,0.352846,6.97E-05,0.350963,0.00712243,0.288987,0.29611,0.351033
18,4.49E-06,0.266697,5.13E-05,0.363064,0.00717928,0.363004,0.370183,0.363116
19,1.75E-06,0.199334,3.74E-05,0.353822,0.00722412,0.439581,0.446805,0.353859
20,6.91E-07,0.150268,2.70E-05,0.328233,0.00725937,0.514213,0.521472,0.32826
21,2.81E-07,0.115954,1.95E-05,0.293289,0.00728705,0.58345,0.590737,0.293309
22,1.18E-07,0.0922943,1.39E-05,0.255065,0.00730877,0.645318,0.652627,0.255079
23,5.17E-08,0.0759167,9.95E-06,0.217624,0.00732582,0.699124,0.70645,0.217634
24,2.35E-08,0.0644229,7.10E-06,0.183199,0.00733921,0.745032,0.752371,0.183206
25,1.10E-08,0.056212,5.05E-06,0.152755,0.00734972,0.783679,0.791028,0.15276
26,5.33E-09,0.0502383,3.60E-06,0.126497,0.00735799,0.815903,0.823261,0.126501
27,2.63E-09,0.0458171,2.56E-06,0.104227,0.00736448,0.842588,0.849953,0.10423
28,1.33E-09,0.0424948,1.82E-06,0.0855577,0.00736959,0.864576,0.871946,0.0855595
29,6.81E-10,0.0399654,1.29E-06,0.0700344,0.00737361,0.882625,0.889999,0.0700357
30,3.53E-10,0.0380182,9.16E-07,0.0572044,0.00737677,0.8974,0.904776,0.0572053
31,1.85E-10,0.0365052,6.50E-07,0.0466473,0.00737926,0.909468,0.916847,0.0466479
32,9.82E-11,0.0353205,4.61E-07,0.0379894,0.00738122,0.919308,0.92669,0.0379898
33,5.24E-11,0.034387,3.27E-07,0.0309071,0.00738276,0.927323,0.934706,0.0309074
34,2.81E-11,0.0336476,2.32E-07,0.0251251,0.00738398,0.933843,0.941227,0.0251253
35,1.51E-11,0.0330595,1.65E-07,0.0204119,0.00738493,0.939144,0.946529,0.020412
36,8.19E-12,0.03259,1.17E-07,0.0165744,0.00738569,0.94345,0.950835,0.0165745
37,4.45E-12,0.0322142,8.30E-08,0.013453,0.00738628,0.946946,0.954333,0.0134531
38,2.42E-12,0.0319127,5.89E-08,0.0109159,0.00738675,0.949785,0.957171,0.010916
39,1.32E-12,0.0316704,4.17E-08,0.00885501,0.00738712,0.952087,0.959475,0.00885506
40,7.20E-13,0.0314753,2.96E-08,0.00718171,0.00738741,0.953956,0.961343,0.00718174
41,3.94E-13,0.031318,2.10E-08,0.00582363,0.00738764,0.955471,0.962858,0.00582365
42,2.16E-13,0.0311911,1.49E-08,0.00472173,0.00738782,0.956699,0.964087,0.00472174
43,1.18E-13,0.0310887,1.06E-08,0.0038279,0.00738796,0.957695,0.965083,0.00382791
44,6.48E-14,0.0310059,7.50E-09,0.00310301,0.00738808,0.958503,0.965891,0.00310301
45,3.55E-14,0.0309389,5.32E-09,0.00251521,0.00738816,0.959158,0.966546,0.00251521
46,1.95E-14,0.0308848,3.77E-09,0.00203864,0.00738823,0.959688,0.967077,0.00203864
47,1.07E-14,0.030841,2.67E-09,0.00165229,0.00738829,0.960118,0.967507,0.00165229
48,5.88E-15,0.0308055,1.90E-09,0.00133911,0.00738833,0.960467,0.967855,0.00133911
49,3.23E-15,0.0307768,1.35E-09,0.00108525,0.00738837,0.96075,0.968138,0.00108525
50,1.78E-15,0.0307536,9.54E-10,0.000879502,0.00738839,0.960979,0.968367,0.000879503
51,9.76E-16,0.0307348,6.77E-10,0.000712744,0.00738842,0.961164,0.968552,0.000712745
52,5.37E-16,0.0307195,4.80E-10,0.000577595,0.00738843,0.961314,0.968703,0.000577596
53,2.95E-16,0.0307072,3.41E-10,0.000468067,0.00738845,0.961436,0.968825,0.000468067
54,1.62E-16,0.0306972,2.42E-10,0.000379304,0.00738846,0.961535,0.968923,0.000379304
55,8.92E-17,0.0306891,1.71E-10,0.000307371,0.00738846,0.961615,0.969004,0.000307371
56,4.90E-17,0.0306825,1.21E-10,0.000249078,0.00738847,0.96168,0.969068,0.000249079
57,2.70E-17,0.0306772,8.62E-11,0.00020184,0.00738848,0.961732,0.969121,0.00020184
58,1.48E-17,0.0306729,6.11E-11,0.000163559,0.00738848,0.961775,0.969164,0.000163559
59,8.16E-18,0.0306694,4.33E-11,0.000132538,0.00738848,0.96181,0.969198,0.000132538
60,4.49E-18,0.0306666,3.07E-11,0.000107401,0.00738849,0.961838,0.969226,0.000107401
61,2.47E-18,0.0306643,2.18E-11,8.70E-05,0.00738849,0.96186,0.969249,8.70E-05
62,1.36E-18,0.0306624,1.55E-11,7.05E-05,0.00738849,0.961879,0.969267,7.05E-05
63,7.46E-19,0.0306609,1.10E-11,5.71E-05,0.00738849,0.961893,0.969282,5.71E-05
64,4.10E-19,0.0306597,7.78E-12,4.63E-05,0.00738849,0.961905,0.969294,4.63E-05
65,2.26E-19,0.0306587,5.52E-12,3.75E-05,0.00738849,0.961915,0.969304,3.75E-05
66,1.24E-19,0.0306579,3.91E-12,3.04E-05,0.00738849,0.961923,0.969312,3.04E-05
67,6.83E-20,0.0306573,2.78E-12,2.46E-05,0.00738849,0.96193,0.969318,2.46E-05
68,3.75E-20,0.0306568,1.97E-12,2.00E-05,0.00738849,0.961935,0.969323,2.00E-05
69,2.06E-20,0.0306563,1.40E-12,1.62E-05,0.00738849,0.961939,0.969327,1.62E-05
70,1.14E-20,0.030656,9.90E-13,1.31E-05,0.00738849,0.961942,0.969331,1.31E-05
71,6.25E-21,0.0306557,7.02E-13,1.06E-05,0.00738849,0.961945,0.969334,1.06E-05
72,3.44E-21,0.0306555,4.98E-13,8.61E-06,0.00738849,0.961947,0.969336,8.61E-06
73,1.89E-21,0.0306553,3.53E-13,6.98E-06,0.00738849,0.961949,0.969338,6.98E-06
74,1.04E-21,0.0306552,2.51E-13,5.65E-06,0.00738849,0.961951,0.969339,5.65E-06
75,5.72E-22,0.030655,1.78E-13,4.58E-06,0.00738849,0.961952,0.96934,4.58E-06
76,3.14E-22,0.0306549,1.26E-13,3.71E-06,0.00738849,0.961953,0.969341,3.71E-06
77,1.73E-22,0.0306549,8.94E-14,3.01E-06,0.00738849,0.961954,0.969342,3.01E-06
78,9.51E-23,0.0306548,6.34E-14,2.44E-06,0.00738849,0.961954,0.969343,2.44E-06
79,5.23E-23,0.0306547,4.50E-14,1.98E-06,0.0073885,0.961955,0.969343,1.98E-06
80,2.88E-23,0.0306547,3.19E-14,1.60E-06,0.0073885,0.961955,0.969344,1.60E-06
