i,S,V,Ip(e1 = e2 = 0.90),Im(e1 = e2 = 0.90),R,x,I(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.189065,0.0039198,0.00433232,0.0024848,0.099996,0.00825213
3,0.715399,0.268957,0.00512128,0.00597445,0.0045486,0.0995166,0.0110957
4,0.638454,0.339912,0.00640957,0.00791321,0.00731128,0.0988086,0.0143228
5,0.568741,0.402607,0.00770198,0.0100893,0.0108609,0.0979329,0.0177913
6,0.505702,0.457733,0.00890592,0.0124103,0.0152487,0.0969404,0.0213162
7,0.448852,0.505978,0.00993184,0.0147592,0.0204794,0.0958699,0.024691
8,0.397766,0.548013,0.0107062,0.0170079,0.0265066,0.0947471,0.0277141
9,0.352059,0.584491,0.0111813,0.0190329,0.0332354,0.0935855,0.0302142
10,0.311365,0.616034,0.0113399,0.0207298,0.0405308,0.092388,0.0320697
11,0.275319,0.643232,0.0111948,0.0220236,0.0482308,0.0911497,0.0332184
12,0.243549,0.666632,0.010783,0.0228748,0.0561612,0.0898613,0.0336578
13,0.215673,0.68674,0.0101576,0.0232783,0.0641504,0.0885116,0.0334359
14,0.191308,0.704013,0.00937882,0.0232587,0.0720414,0.0870902,0.0326375
15,0.170073,0.718858,0.00850643,0.0228624,0.0796998,0.085589,0.0313689
16,0.151603,0.731635,0.00759374,0.0221497,0.0870187,0.0840035,0.0297434
17,0.135555,0.742655,0.00668451,0.0211864,0.0939195,0.0823329,0.0278709
18,0.121614,0.752185,0.00581183,0.0200381,0.10035,0.0805803,0.0258499
19,0.109497,0.760456,0.0049984,0.0187653,0.106283,0.0787515,0.0237637
20,0.0989528,0.767659,0.00425791,0.0174214,0.111709,0.076855,0.0216793
21,0.0897608,0.773958,0.00359678,0.0160508,0.116633,0.0749008,0.0196476
22,0.0817305,0.779489,0.00301595,0.0146893,0.121075,0.0729001,0.0177052
23,0.0746977,0.784366,0.00251254,0.0133643,0.125059,0.0708643,0.0158768
24,0.0685218,0.788685,0.0020812,0.0120958,0.128616,0.0688048,0.014177
25,0.0630828,0.792526,0.00171521,0.0108977,0.131778,0.0667324,0.0126129
26,0.0582786,0.795955,0.00140727,0.00977851,0.134581,0.0646572,0.0111858
27,0.0540224,0.799028,0.00115003,0.00874278,0.137057,0.0625886,0.00989281
28,0.0502402,0.801793,0.000936505,0.0077918,0.139239,0.0605348,0.00872831
29,0.0468692,0.804288,0.000760225,0.0069245,0.141158,0.0585031,0.00768472
30,0.0438559,0.806549,0.00061539,0.00613808,0.142842,0.0564997,0.00675347
31,0.0411544,0.808603,0.000496892,0.00542856,0.144317,0.05453,0.00592545
32,0.0387258,0.810474,0.000400303,0.00479122,0.145609,0.0525983,0.00519152
33,0.0365366,0.812184,0.00032183,0.00422089,0.146737,0.0507083,0.00454272
34,0.0345578,0.81375,0.000258264,0.00371225,0.147722,0.0488628,0.00397051
35,0.0327649,0.815187,0.000206906,0.00325997,0.148581,0.0470641,0.00346687
36,0.0311363,0.81651,0.00016551,0.00285886,0.149329,0.0453138,0.00302437
37,0.0296535,0.817729,0.000132213,0.00250398,0.149981,0.0436131,0.0026362
38,0.0283004,0.818855,0.000105482,0.00219066,0.150548,0.0419627,0.00229614
39,0.0270631,0.819897,8.41E-05,0.00191455,0.151042,0.0403629,0.00199861
40,0.0259292,0.820862,6.69E-05,0.00167165,0.15147,0.0388137,0.00173857
41,0.0248882,0.821758,5.32E-05,0.00145829,0.151842,0.0373149,0.00151151
42,0.0239305,0.82259,4.23E-05,0.00127114,0.152166,0.0358661,0.00131343
43,0.023048,0.823365,3.36E-05,0.00110719,0.152446,0.0344666,0.00114076
44,0.0222333,0.824086,2.66E-05,0.000963729,0.15269,0.0331155,0.000990362
45,0.02148,0.824759,2.11E-05,0.000838326,0.152901,0.0318121,0.000859441
46,0.0207824,0.825388,1.67E-05,0.000728816,0.153084,0.0305552,0.000745545
47,0.0201354,0.825975,1.32E-05,0.000633269,0.153243,0.0293437,0.000646514
48,0.0195345,0.826525,1.05E-05,0.000549971,0.15338,0.0281766,0.000560453
49,0.0189755,0.827039,8.29E-06,0.000477407,0.153499,0.0270527,0.000485698
50,0.018455,0.827522,6.55E-06,0.000414237,0.153603,0.0259707,0.000420792
51,0.0179697,0.827974,5.18E-06,0.00035928,0.153692,0.0249293,0.00036446
52,0.0175166,0.828399,4.09E-06,0.000311497,0.153769,0.0239274,0.000315588
53,0.0170932,0.828797,3.23E-06,0.000269973,0.153836,0.0229638,0.000273203
54,0.016697,0.829172,2.55E-06,0.000233907,0.153894,0.0220371,0.000236457
55,0.016326,0.829525,2.01E-06,0.000202597,0.153944,0.0211461,0.000204609
56,0.0159781,0.829857,1.59E-06,0.000175427,0.153988,0.0202897,0.000177014
57,0.0156517,0.83017,1.25E-06,0.000151859,0.154025,0.0194667,0.00015311
58,0.0153452,0.830465,9.86E-07,0.000131424,0.154057,0.0186758,0.000132411
59,0.015057,0.830743,7.77E-07,0.000113712,0.154085,0.0179161,0.000114489
60,0.0147859,0.831006,6.12E-07,9.84E-05,0.15411,0.0171862,9.90E-05
61,0.0145306,0.831253,4.82E-07,8.51E-05,0.154131,0.0164852,8.56E-05
62,0.0142901,0.831487,3.80E-07,7.36E-05,0.154149,0.0158121,7.39E-05
63,0.0140633,0.831708,2.99E-07,6.36E-05,0.154164,0.0151656,6.39E-05
64,0.0138493,0.831918,2.35E-07,5.50E-05,0.154178,0.014545,5.52E-05
65,0.0136473,0.832116,1.85E-07,4.75E-05,0.154189,0.0139492,4.77E-05
66,0.0134564,0.832303,1.46E-07,4.10E-05,0.1542,0.0133773,4.12E-05
67,0.0132759,0.83248,1.15E-07,3.55E-05,0.154208,0.0128283,3.56E-05
68,0.0131053,0.832648,9.03E-08,3.06E-05,0.154216,0.0123014,3.07E-05
69,0.0129437,0.832807,7.10E-08,2.65E-05,0.154222,0.0117957,2.65E-05
70,0.0127908,0.832958,5.58E-08,2.28E-05,0.154228,0.0113105,2.29E-05
71,0.0126459,0.833102,4.39E-08,1.97E-05,0.154233,0.0108449,1.98E-05
72,0.0125085,0.833238,3.45E-08,1.70E-05,0.154237,0.0103982,1.71E-05
73,0.0123783,0.833366,2.71E-08,1.47E-05,0.15424,0.00996955,1.47E-05
74,0.0122548,0.833489,2.13E-08,1.27E-05,0.154244,0.00955835,1.27E-05
75,0.0121375,0.833605,1.68E-08,1.10E-05,0.154246,0.00916388,1.10E-05
76,0.0120262,0.833716,1.32E-08,9.46E-06,0.154249,0.00878548,9.47E-06
77,0.0119204,0.833821,1.04E-08,8.16E-06,0.154251,0.00842251,8.17E-06
78,0.0118199,0.833921,8.14E-09,7.04E-06,0.154252,0.00807436,7.05E-06
79,0.0117244,0.834016,6.39E-09,6.08E-06,0.154254,0.00774043,6.08E-06
80,0.0116336,0.834106,5.02E-09,5.24E-06,0.154255,0.00742017,5.25E-06
