i,S,V,Ip(e1 = e2 = 0.90),Im(e1 = e2 = 0.90),R,x,I(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10018,0.00587781
2,0.800198,0.189065,0.0039198,0.00433232,0.0024848,0.0964047,0.00825213
3,0.718254,0.266083,0.00513042,0.00598439,0.0045486,0.0893528,0.0111148
4,0.648227,0.330024,0.00646084,0.00797226,0.00731606,0.0800621,0.0144331
5,0.589405,0.381542,0.0078681,0.010292,0.0108932,0.0696554,0.0181601
6,0.540342,0.422043,0.00930949,0.0129332,0.0153725,0.0591175,0.0222427
7,0.499306,0.453238,0.0107447,0.0158798,0.0208319,0.0491723,0.0266245
8,0.464593,0.476828,0.0121359,0.0191092,0.0273339,0.0402588,0.0312451
9,0.434693,0.494345,0.013447,0.0225894,0.0349254,0.0325718,0.0360365
10,0.408358,0.507087,0.0146429,0.0262765,0.0436358,0.0261298,0.0409194
11,0.384615,0.516109,0.0156894,0.0301115,0.0534749,0.0208437,0.0458009
12,0.362746,0.52225,0.0165541,0.0340199,0.0644301,0.0165711,0.050574
13,0.342249,0.526167,0.0172082,0.0379118,0.0764637,0.0131533,0.05512
14,0.322803,0.528373,0.0176288,0.0416853,0.0895102,0.0104376,0.0593141
15,0.304227,0.529264,0.0178011,0.0452315,0.103476,0.0082881,0.0630326
16,0.286447,0.52915,0.0177205,0.0484418,0.118241,0.00658954,0.0661623
17,0.269456,0.528275,0.0173937,0.0512159,0.13366,0.00524735,0.0686095
18,0.253292,0.526832,0.0168386,0.0534694,0.149568,0.00418554,0.070308
19,0.238012,0.524976,0.0160833,0.0551407,0.165789,0.00334393,0.071224
20,0.22367,0.522831,0.0151635,0.0561948,0.182141,0.00267529,0.0713583
21,0.210313,0.520497,0.0141197,0.0566247,0.198445,0.00214275,0.0707444
22,0.197964,0.518058,0.0129938,0.0564499,0.214534,0.00171757,0.0694437
23,0.186628,0.515576,0.011826,0.0557131,0.230256,0.00137738,0.0675391
24,0.176287,0.513105,0.0106528,0.0544743,0.24548,0.00110471,0.0651271
25,0.166907,0.510684,0.00950496,0.0528053,0.260099,0.000885848,0.0623102
26,0.158438,0.508343,0.00840697,0.0507837,0.274029,0.000710028,0.0591907
27,0.150822,0.506104,0.00737666,0.0484881,0.28721,0.00056872,0.0558648
28,0.143994,0.503982,0.00642585,0.0459939,0.299604,0.000455146,0.0524197
29,0.137889,0.501986,0.00556098,0.0433702,0.311194,0.000363894,0.0489312
30,0.132441,0.50012,0.00478413,0.0406785,0.321976,0.000290622,0.0454627
31,0.127585,0.498387,0.00409396,0.0379713,0.331962,0.00023184,0.0420653
32,0.123262,0.496784,0.00348668,0.0352922,0.341175,0.000184731,0.0387789
33,0.119416,0.495307,0.00295681,0.032676,0.349644,0.000147023,0.0356328
34,0.115995,0.493951,0.00249788,0.0301497,0.357406,0.000116877,0.0326476
35,0.112952,0.492711,0.00210299,0.0277332,0.3645,9.28E-05,0.0298362
36,0.110247,0.491579,0.00176512,0.0254404,0.370969,7.36E-05,0.0272056
37,0.10784,0.490548,0.00147749,0.02328,0.376855,5.83E-05,0.0247575
38,0.105699,0.489611,0.00123373,0.0212565,0.3822,4.62E-05,0.0224902
39,0.103793,0.488761,0.00102795,0.019371,0.387047,3.65E-05,0.0203989
40,0.102096,0.487991,0.000854828,0.0176219,0.391436,2.89E-05,0.0184768
41,0.100585,0.487295,0.000709633,0.0160059,0.395405,2.28E-05,0.0167155
42,0.0992385,0.486665,0.000588189,0.0145179,0.39899,1.80E-05,0.0151061
43,0.0980382,0.486097,0.000486856,0.0131519,0.402226,1.42E-05,0.0136387
44,0.0969679,0.485585,0.000402484,0.0119012,0.405144,1.12E-05,0.0123037
45,0.0960131,0.485123,0.000332367,0.0107589,0.407773,8.80E-06,0.0110912
46,0.095161,0.484707,0.000274195,0.00971755,0.410141,6.93E-06,0.00999174
47,0.0944004,0.484332,0.000226005,0.0087701,0.412271,5.45E-06,0.0089961
48,0.0937211,0.483995,0.000186139,0.00790944,0.414188,4.29E-06,0.00809558
49,0.0931142,0.483692,0.000153197,0.00712874,0.415912,3.37E-06,0.00728194
50,0.092572,0.48342,0.000126005,0.00642148,0.417461,2.65E-06,0.00654749
51,0.0920873,0.483175,0.000103582,0.00578147,0.418853,2.08E-06,0.00588505
52,0.091654,0.482955,8.51E-05,0.0052029,0.420103,1.64E-06,0.00528801
53,0.0912665,0.482758,6.99E-05,0.00468034,0.421226,1.28E-06,0.00475024
54,0.0909199,0.48258,5.74E-05,0.00420875,0.422234,1.01E-06,0.00426613
55,0.0906099,0.482421,4.71E-05,0.00378345,0.423139,7.92E-07,0.00383053
56,0.0903324,0.482278,3.86E-05,0.00340014,0.423951,6.21E-07,0.00343877
57,0.0900841,0.48215,3.17E-05,0.00305487,0.424679,4.88E-07,0.00308656
58,0.0898619,0.482035,2.60E-05,0.00274403,0.425333,3.83E-07,0.00277001
59,0.0896629,0.481932,2.13E-05,0.00246431,0.42592,3.00E-07,0.0024856
60,0.0894848,0.481839,1.75E-05,0.00221269,0.426446,2.35E-07,0.00223014
61,0.0893253,0.481756,1.43E-05,0.00198643,0.426918,1.85E-07,0.00200073
62,0.0891825,0.481681,1.17E-05,0.00178304,0.427341,1.45E-07,0.00179475
63,0.0890546,0.481614,9.60E-06,0.00160026,0.427721,1.14E-07,0.00160986
64,0.08894,0.481554,7.86E-06,0.00143605,0.428062,8.90E-08,0.00144391
65,0.0888374,0.481501,6.44E-06,0.00128855,0.428367,6.98E-08,0.00129498
66,0.0887455,0.481452,5.27E-06,0.00115609,0.428641,5.47E-08,0.00116136
67,0.0886631,0.481409,4.32E-06,0.00103715,0.428886,4.29E-08,0.00104147
68,0.0885893,0.48137,3.53E-06,0.000930383,0.429106,3.36E-08,0.000933916
69,0.0885232,0.481336,2.89E-06,0.000834547,0.429304,2.64E-08,0.000837439
70,0.088464,0.481305,2.37E-06,0.000748536,0.429481,2.07E-08,0.000750904
71,0.0884109,0.481277,1.94E-06,0.000671353,0.429639,1.62E-08,0.000673291
72,0.0883633,0.481252,1.59E-06,0.000602098,0.429781,1.27E-08,0.000603684
73,0.0883207,0.481229,1.30E-06,0.000539963,0.429909,9.95E-09,0.000541261
74,0.0882825,0.481209,1.06E-06,0.000484221,0.430023,7.80E-09,0.000485284
75,0.0882483,0.481191,8.70E-07,0.000434218,0.430126,6.11E-09,0.000435088
76,0.0882176,0.481175,7.12E-07,0.000389366,0.430218,4.79E-09,0.000390078
77,0.0881901,0.48116,5.82E-07,0.000349137,0.4303,3.75E-09,0.00034972
78,0.0881654,0.481147,4.77E-07,0.000313056,0.430374,2.94E-09,0.000313533
79,0.0881434,0.481136,3.90E-07,0.000280698,0.43044,2.30E-09,0.000281088
80,0.0881236,0.481125,3.19E-07,0.000251679,0.430499,1.81E-09,0.000251998
