i,S,V,Ip (e1 = e2 = 0.10),Im (e1 = e2 = 0.10),R,x,I(e1 = e2 = 0.10)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.208794,0.00406337,0.00446939,0.0024848,0.149368,0.00853276
3,0.659097,0.324043,0.00569463,0.00654549,0.00461963,0.180348,0.0122401
4,0.53491,0.440051,0.00790279,0.00946531,0.00767096,0.215813,0.0173681
5,0.413609,0.549986,0.0108805,0.0135382,0.011986,0.255868,0.0244188
6,0.301734,0.646149,0.0148915,0.019191,0.0180339,0.300557,0.0340825
7,0.205261,0.720997,0.0202863,0.0270047,0.0264508,0.349903,0.047291
8,0.128365,0.768308,0.0274971,0.0377313,0.0380988,0.403949,0.0652284
9,0.0724992,0.784155,0.0369767,0.0522445,0.054125,0.462746,0.0892213
10,0.0361565,0.767464,0.0490374,0.0713481,0.0759939,0.526242,0.120386
11,0.0154717,0.720182,0.0635505,0.0953647,0.105431,0.59401,0.158915
12,0.00547899,0.64728,0.0795471,0.123502,0.144192,0.664779,0.203049
13,0.00153695,0.556706,0.0949359,0.153239,0.193582,0.735903,0.248175
14,0.000324953,0.458865,0.106745,0.180305,0.253761,0.803197,0.28705
15,4.92E-05,0.364845,0.112164,0.199829,0.323113,0.861776,0.311992
16,5.10E-06,0.283487,0.109946,0.208387,0.398175,0.907964,0.318333
17,3.49E-07,0.219026,0.101066,0.205516,0.474391,0.940972,0.306582
18,1.55E-08,0.171115,0.0880189,0.193468,0.547398,0.962764,0.281487
19,4.48E-10,0.136793,0.0734944,0.175677,0.614036,0.976465,0.249172
20,8.43E-12,0.112537,0.0594756,0.155328,0.672659,0.984916,0.214804
21,1.05E-13,0.095358,0.0470493,0.134715,0.722878,0.990142,0.181764
22,8.86E-16,0.0830574,0.0366133,0.115227,0.765102,0.993423,0.15184
23,5.12E-18,0.0741194,0.0281545,0.0975723,0.800154,0.995525,0.125727
24,2.06E-20,0.0675236,0.0214612,0.0820158,0.828999,0.996903,0.103477
25,5.85E-23,0.0625844,0.0162531,0.0685633,0.852599,0.997824,0.0848163
26,1.19E-25,0.0588366,0.0122486,0.0570817,0.871833,0.998452,0.0693303
27,1.74E-28,0.0559598,0.00919639,0.0473739,0.88747,0.998887,0.0565703
28,1.84E-31,0.0537296,0.00688491,0.0392224,0.900163,0.999194,0.0461073
29,1.43E-34,0.0519862,0.00514289,0.0324126,0.910458,0.999411,0.0375555
30,8.17E-38,0.0506135,0.00383492,0.0267458,0.918806,0.999568,0.0305807
31,3.44E-41,0.0495262,0.00285566,0.0220442,0.925574,0.999681,0.0248998
32,1.08E-44,0.0486606,0.00212412,0.0181524,0.931063,0.999764,0.0202765
33,2.49E-48,0.0479686,0.00157861,0.0149368,0.935516,0.999825,0.0165154
34,4.31E-52,0.0474134,0.00117237,0.0122836,0.939131,0.99987,0.0134559
35,5.55E-56,0.0469665,0.000870188,0.0100969,0.942066,0.999903,0.0109671
36,5.34E-60,0.046606,0.000645602,0.00829638,0.944452,0.999927,0.00894198
37,3.85E-64,0.0463144,0.000478804,0.00681484,0.946392,0.999946,0.00729365
38,2.07E-68,0.0460782,0.000354996,0.00559649,0.94797,0.999959,0.00595149
39,8.38E-73,0.0458866,0.000263139,0.00459504,0.949255,0.99997,0.00485818
40,2.54E-77,0.0457308,0.000195013,0.00377217,0.950302,0.999977,0.00396719
41,5.78E-82,0.0456041,0.000144501,0.00309626,0.951155,0.999983,0.00324076
42,9.87E-87,0.045501,0.00010706,0.00254118,0.951851,0.999987,0.00264824
43,1.27E-91,0.0454169,7.93E-05,0.00208543,0.952418,0.99999,0.00216474
44,1.22E-96,0.0453483,5.87E-05,0.0017113,0.952882,0.999993,0.00177005
45,8.84E-102,0.0452923,4.35E-05,0.0014042,0.95326,0.999995,0.00144772
46,4.81E-107,0.0452466,3.22E-05,0.00115216,0.953569,0.999996,0.00118439
47,1.97E-112,0.0452092,2.39E-05,0.000945325,0.953822,0.999997,0.000969195
48,6.05E-118,0.0451787,1.77E-05,0.000775594,0.954028,0.999998,0.000793272
49,1.40E-123,0.0451537,1.31E-05,0.000636321,0.954197,0.999998,0.000649413
50,2.43E-129,0.0451332,9.70E-06,0.000522046,0.954335,0.999999,0.000531741
51,3.18E-135,0.0451165,7.18E-06,0.000428286,0.954448,0.999999,0.000435466
52,3.13E-141,0.0451028,5.32E-06,0.000351361,0.95454,0.999999,0.000356677
53,2.31E-147,0.0450916,3.94E-06,0.000288249,0.954616,0.999999,0.000292186
54,1.29E-153,0.0450825,2.92E-06,0.000236471,0.954678,1,0.000239386
55,5.38E-160,0.0450749,2.16E-06,0.000193992,0.954729,1,0.000196151
56,1.69E-166,0.0450688,1.60E-06,0.000159143,0.95477,1,0.000160742
57,4.01E-173,0.0450637,1.18E-06,0.000130554,0.954805,1,0.000131737
58,7.14E-180,0.0450596,8.77E-07,0.0001071,0.954832,1,0.000107976
59,9.56E-187,0.0450562,6.49E-07,8.79E-05,0.954855,1,8.85E-05
60,9.63E-194,0.0450534,4.81E-07,7.21E-05,0.954874,1,7.26E-05
61,7.30E-201,0.0450512,3.56E-07,5.91E-05,0.954889,1,5.95E-05
62,4.16E-208,0.0450493,2.64E-07,4.85E-05,0.954902,1,4.88E-05
63,1.78E-215,0.0450478,1.95E-07,3.98E-05,0.954912,1,4.00E-05
64,5.75E-223,0.0450465,1.44E-07,3.26E-05,0.954921,1,3.28E-05
65,1.40E-230,0.0450455,1.07E-07,2.68E-05,0.954928,1,2.69E-05
66,2.55E-238,0.0450447,7.92E-08,2.20E-05,0.954933,1,2.20E-05
67,3.50E-246,0.045044,5.87E-08,1.80E-05,0.954938,1,1.81E-05
68,3.61E-254,0.0450434,4.34E-08,1.48E-05,0.954942,1,1.48E-05
69,2.81E-262,0.0450429,3.22E-08,1.21E-05,0.954945,1,1.22E-05
70,1.64E-270,0.0450425,2.38E-08,9.95E-06,0.954947,1,9.97E-06
71,7.21E-279,0.0450422,1.76E-08,8.16E-06,0.95495,1,8.18E-06
72,2.38E-287,0.045042,1.31E-08,6.69E-06,0.954951,1,6.71E-06
73,5.93E-296,0.0450418,9.67E-09,5.49E-06,0.954953,1,5.50E-06
