i,S,V,Ip (e1=e2= 0.50),Im (e1=e2= 0.50),R,x,I(e1=e2= 0.50)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.208981,0.00396821,0.00437668,0.0024848,0.149368,0.00834489
3,0.659197,0.324818,0.00528551,0.00612748,0.00457216,0.180334,0.011413
4,0.53536,0.442209,0.00676645,0.00824918,0.0074153,0.215731,0.0150156
5,0.414795,0.555047,0.00833214,0.0106859,0.0111405,0.255558,0.019018
6,0.304068,0.656832,0.00990114,0.01336,0.015839,0.299649,0.0232611
7,0.208971,0.741846,0.0114158,0.0162059,0.021562,0.347663,0.0276217
8,0.133292,0.806323,0.0128568,0.0191982,0.0283297,0.399081,0.032055
9,0.078034,0.849217,0.0142389,0.022359,0.0361514,0.45321,0.0365979
10,0.0414132,0.872208,0.0155916,0.0257423,0.0450454,0.509175,0.0413339
11,0.0196515,0.878952,0.0169396,0.0294067,0.05505,0.56592,0.0463463
12,0.00821271,0.873882,0.0182897,0.0333922,0.0662232,0.622231,0.0516819
13,0.00297372,0.861057,0.0196283,0.0377076,0.0786334,0.676799,0.0573359
14,0.000916852,0.843481,0.0209259,0.0423293,0.0923466,0.728338,0.0632552
15,0.000236423,0.822998,0.0221441,0.0472058,0.107416,0.775717,0.0693499
16,5.01E-05,0.800575,0.0232407,0.052263,0.123871,0.818085,0.0755037
17,8.56E-06,0.776696,0.0241737,0.0574072,0.141715,0.854952,0.081581
18,1.16E-06,0.75165,0.0249037,0.0625276,0.160918,0.886197,0.0874313
19,1.23E-07,0.725689,0.0253958,0.0674993,0.181416,0.912028,0.0928951
20,9.99E-09,0.699081,0.0256231,0.0721891,0.203107,0.932902,0.0978122
21,6.18E-10,0.672115,0.0255684,0.0764623,0.225854,0.949424,0.102031
22,2.87E-11,0.645095,0.0252268,0.0801916,0.249487,0.962265,0.105418
23,9.91E-13,0.618323,0.0246057,0.0832653,0.273806,0.972085,0.107871
24,2.53E-14,0.592087,0.0237256,0.0855952,0.298592,0.979494,0.109321
25,4.73E-16,0.566649,0.0226177,0.0871224,0.323611,0.985018,0.10974
26,6.46E-18,0.54223,0.0213219,0.0878202,0.348628,0.989099,0.109142
27,6.43E-20,0.51901,0.0198835,0.0876948,0.373411,0.992091,0.107578
28,4.65E-22,0.497121,0.0183499,0.0867825,0.397747,0.994271,0.105132
29,2.44E-24,0.476647,0.0167672,0.0851456,0.42144,0.995853,0.101913
30,9.28E-27,0.457633,0.0151781,0.0828657,0.444324,0.996997,0.0980438
31,2.57E-29,0.440083,0.0136194,0.0800379,0.46626,0.997824,0.0936573
32,5.17E-32,0.423973,0.0121211,0.0767637,0.487143,0.998421,0.0888849
33,7.58E-35,0.409253,0.0107064,0.0731455,0.506895,0.998852,0.0838519
34,8.12E-38,0.395858,0.00939118,0.0692817,0.525469,0.999163,0.0786729
35,6.37E-41,0.38371,0.00818512,0.0652633,0.542842,0.999388,0.0734484
36,3.67E-44,0.372723,0.00709253,0.0611716,0.559013,0.999552,0.0682641
37,1.55E-47,0.36281,0.00611333,0.0570766,0.574,0.999671,0.0631899
38,4.86E-51,0.353882,0.00524408,0.053037,0.587836,0.999758,0.0582811
39,1.12E-54,0.345855,0.00447892,0.0491004,0.600565,0.999821,0.0535793
40,1.92E-58,0.338647,0.00381044,0.0453036,0.612239,0.999867,0.049114
41,2.45E-62,0.33218,0.00323029,0.0416742,0.622916,0.999902,0.0449045
42,2.33E-66,0.326382,0.00272976,0.0382314,0.632657,0.999927,0.0409611
43,1.65E-70,0.321188,0.0023002,0.0349873,0.641524,0.999945,0.0372875
44,8.75E-75,0.316537,0.00193326,0.0319483,0.649581,0.999959,0.0338816
45,3.48E-79,0.312374,0.00162111,0.0291158,0.656889,0.999969,0.0307369
46,1.04E-83,0.308648,0.00135655,0.0264876,0.663508,0.999977,0.0278442
47,2.33E-88,0.305314,0.00113306,0.0240585,0.669495,0.999983,0.0251916
48,3.93E-93,0.302331,0.00094482,0.0218211,0.674904,0.999987,0.022766
49,5.02E-98,0.299662,0.000786677,0.0197667,0.679785,0.99999,0.0205534
50,4.83E-103,0.297274,0.000654129,0.0178853,0.684186,0.999993,0.0185394
51,3.51E-108,0.295138,0.000543264,0.0161665,0.688152,0.999994,0.0167097
52,1.93E-113,0.293227,0.000450705,0.0145995,0.691723,0.999996,0.0150502
53,8.06E-119,0.291518,0.000373558,0.0131736,0.694935,0.999997,0.0135471
54,2.55E-124,0.289988,0.000309349,0.0118782,0.697824,0.999998,0.0121876
55,6.11E-130,0.288619,0.000255981,0.0107032,0.700421,0.999998,0.0109592
56,1.11E-135,0.287395,0.000211673,0.00963881,0.702755,0.999999,0.00985048
57,1.54E-141,0.286299,0.000174926,0.00867568,0.704851,0.999999,0.00885061
58,1.62E-147,0.285318,0.000144479,0.00780512,0.706733,0.999999,0.0079496
59,1.29E-153,0.28444,0.000119273,0.00701895,0.708422,0.999999,0.00713822
60,7.86E-160,0.283654,9.84E-05,0.00630959,0.709938,1,0.00640801
61,3.64E-166,0.282951,8.12E-05,0.00567,0.711298,1,0.00575118
62,1.28E-172,0.282321,6.69E-05,0.0050937,0.712518,1,0.00516064
63,3.44E-179,0.281757,5.52E-05,0.00457474,0.713613,1,0.00462992
64,7.04E-186,0.281253,4.55E-05,0.00410766,0.714594,1,0.00415312
65,1.10E-192,0.280801,3.75E-05,0.00368746,0.715474,1,0.00372492
66,1.30E-199,0.280396,3.09E-05,0.0033096,0.716263,1,0.00334046
67,1.18E-206,0.280034,2.54E-05,0.00296995,0.716971,1,0.00299536
68,8.15E-214,0.27971,2.09E-05,0.00266474,0.717605,1,0.00268566
69,4.29E-221,0.279419,1.72E-05,0.00239056,0.718173,1,0.00240778
70,1.72E-228,0.279159,1.42E-05,0.00214432,0.718683,1,0.00215849
71,5.29E-236,0.278926,1.17E-05,0.00192323,0.719139,1,0.00193489
72,1.24E-243,0.278717,9.60E-06,0.00172476,0.719548,1,0.00173436
73,2.21E-251,0.27853,7.90E-06,0.00154664,0.719915,1,0.00155453
74,3.01E-259,0.278363,6.50E-06,0.00138679,0.720244,1,0.00139329
75,3.12E-267,0.278213,5.34E-06,0.00124338,0.720538,1,0.00124873
