i,S,V,Ip (e1=e2= 0.90),Im (e1=e2= 0.90),R,x,I(e1 = e2 = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.193086,0.00391045,0.00432265,0.0024848,0.109175,0.0082331
3,0.704572,0.279883,0.00507578,0.00592477,0.00454382,0.113499,0.0110006
4,0.619076,0.359605,0.00627655,0.00775964,0.00728267,0.117675,0.0140362
5,0.540059,0.432051,0.0074041,0.00972463,0.0107609,0.121728,0.0171287
6,0.467785,0.4972,0.0083471,0.011683,0.0149844,0.12568,0.0200301
7,0.402407,0.555197,0.00901329,0.0134847,0.0198977,0.129543,0.022498
8,0.343944,0.606331,0.00934699,0.0149921,0.0253866,0.133319,0.0243391
9,0.292259,0.65101,0.00933725,0.0161022,0.0312914,0.137,0.0254394
10,0.247065,0.689733,0.00901492,0.0167599,0.0374275,0.140567,0.0257748
11,0.20794,0.72305,0.0084412,0.0169606,0.043608,0.143998,0.0254018
12,0.174366,0.751537,0.00769235,0.016742,0.0496625,0.14727,0.0244343
13,0.145771,0.775762,0.00684533,0.016171,0.0554512,0.150365,0.0230163
14,0.121564,0.796268,0.00596752,0.0153289,0.060871,0.153267,0.0212964
15,0.101174,0.813561,0.00511122,0.0142987,0.0658557,0.155971,0.0194099
16,0.0840638,0.828095,0.00431246,0.0131565,0.0703718,0.158476,0.0174689
17,0.0697507,0.840278,0.0035925,0.0119663,0.0744127,0.160787,0.0155588
18,0.0578055,0.850464,0.00296082,0.0107783,0.0779912,0.162914,0.0137391
19,0.0478553,0.858963,0.00241836,0.00962936,0.0811339,0.164871,0.0120477
20,0.0395795,0.866041,0.00196048,0.00854442,0.083875,0.166671,0.0105049
21,0.0327051,0.871924,0.00157934,0.00753873,0.0862528,0.168331,0.00911807
22,0.0270011,0.876806,0.00126567,0.00662,0.0883067,0.169866,0.00788567
23,0.022273,0.880852,0.0010099,0.00579043,0.0900748,0.17129,0.00680032
24,0.0183573,0.884199,0.000802913,0.00504831,0.0915927,0.172618,0.00585122
25,0.0151174,0.886963,0.000636447,0.00438943,0.0928934,0.173863,0.00502587
26,0.0124388,0.889244,0.000503246,0.00380801,0.0940063,0.175036,0.00431125
27,0.0102261,0.891122,0.00039711,0.0032975,0.0949574,0.176147,0.00369461
28,0.00839992,0.892667,0.000312828,0.00285107,0.0957696,0.177205,0.00316389
29,0.00689391,0.893935,0.000246091,0.00246197,0.0964629,0.178218,0.00270806
30,0.00565302,0.894975,0.000193368,0.00212376,0.0970546,0.179193,0.00231713
31,0.00463143,0.895827,0.000151797,0.00183045,0.0975594,0.180136,0.00198224
32,0.00379112,0.896523,0.00011907,0.00157653,0.0979902,0.181052,0.0016956
33,0.00310053,0.897091,9.33E-05,0.00135705,0.0983577,0.181944,0.00145039
34,0.00253346,0.897554,7.31E-05,0.00116757,0.0986715,0.182818,0.0012407
35,0.00206824,0.897931,5.73E-05,0.00100415,0.0989393,0.183676,0.00106142
36,0.00168692,0.898237,4.48E-05,0.000863325,0.0991679,0.184521,0.000908161
37,0.00137465,0.898485,3.51E-05,0.000742056,0.0993632,0.185355,0.000777146
38,0.00111916,0.898686,2.75E-05,0.000637684,0.0995301,0.18618,0.000665141
39,0.000910308,0.898848,2.15E-05,0.000547896,0.0996727,0.186998,0.000569375
40,0.000739746,0.898978,1.68E-05,0.000470682,0.0997946,0.18781,0.000487482
41,0.00060058,0.899083,1.31E-05,0.000404302,0.0998989,0.188618,0.000417441
42,0.000487137,0.899167,1.03E-05,0.000347251,0.099988,0.189422,0.000357525
43,0.00039475,0.899235,8.03E-06,0.000298226,0.100064,0.190223,0.00030626
44,0.000319581,0.899288,6.28E-06,0.000256107,0.10013,0.191023,0.000262388
45,0.000258479,0.899331,4.91E-06,0.000219924,0.100185,0.191822,0.000224835
46,0.00020886,0.899365,3.84E-06,0.000188846,0.100233,0.192619,0.000192685
47,0.000168604,0.899392,3.00E-06,0.000162153,0.100274,0.193417,0.000165155
48,0.000135975,0.899413,2.35E-06,0.00013923,0.100309,0.194214,0.000141576
49,0.000109554,0.89943,1.83E-06,0.000119545,0.100339,0.195013,0.000121379
50,8.82E-05,0.899443,1.43E-06,0.000102641,0.100365,0.195812,0.000104074
51,7.09E-05,0.899453,1.12E-06,8.81E-05,0.100387,0.196611,8.92E-05
52,5.70E-05,0.89946,8.76E-07,7.57E-05,0.100406,0.197413,7.65E-05
53,4.57E-05,0.899466,6.85E-07,6.50E-05,0.100422,0.198215,6.56E-05
54,3.67E-05,0.899471,5.35E-07,5.58E-05,0.100436,0.199019,5.63E-05
55,2.94E-05,0.899474,4.18E-07,4.79E-05,0.100448,0.199825,4.83E-05
56,2.35E-05,0.899477,3.27E-07,4.11E-05,0.100458,0.200633,4.14E-05
57,1.88E-05,0.899478,2.56E-07,3.53E-05,0.100467,0.201442,3.56E-05
58,1.50E-05,0.89948,2.00E-07,3.03E-05,0.100475,0.202253,3.05E-05
59,1.20E-05,0.899481,1.56E-07,2.60E-05,0.100481,0.203067,2.62E-05
60,9.53E-06,0.899481,1.22E-07,2.23E-05,0.100487,0.203882,2.25E-05
61,7.59E-06,0.899482,9.54E-08,1.92E-05,0.100492,0.2047,1.93E-05
62,6.03E-06,0.899482,7.46E-08,1.65E-05,0.100496,0.20552,1.65E-05
63,4.79E-06,0.899482,5.83E-08,1.41E-05,0.100499,0.206342,1.42E-05
64,3.81E-06,0.899482,4.56E-08,1.21E-05,0.100502,0.207166,1.22E-05
65,3.02E-06,0.899482,3.56E-08,1.04E-05,0.100505,0.207992,1.05E-05
66,2.39E-06,0.899482,2.78E-08,8.94E-06,0.100507,0.208821,8.97E-06
67,1.89E-06,0.899482,2.18E-08,7.68E-06,0.100509,0.209652,7.70E-06
68,1.49E-06,0.899482,1.70E-08,6.59E-06,0.10051,0.210486,6.61E-06
69,1.18E-06,0.899481,1.33E-08,5.66E-06,0.100512,0.211321,5.67E-06
70,9.30E-07,0.899481,1.04E-08,4.86E-06,0.100513,0.212159,4.87E-06
71,7.33E-07,0.899481,8.12E-09,4.17E-06,0.100514,0.213,4.18E-06
72,5.77E-07,0.899481,6.35E-09,3.58E-06,0.100515,0.213843,3.59E-06
73,4.53E-07,0.899481,4.96E-09,3.07E-06,0.100516,0.214688,3.08E-06
74,3.56E-07,0.899481,3.88E-09,2.64E-06,0.100516,0.215536,2.64E-06
75,2.79E-07,0.899481,3.03E-09,2.27E-06,0.100517,0.216386,2.27E-06
