i,S,V,Ip (e1 = e2 = 0.90),Im (e1 = e2 = 0.90),R,x,I (A = 0.90)
0,0.996,0,0.002,0.002,0,0.1,0.004
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.14068,0.00587781
2,0.764182,0.225253,0.00383565,0.00424528,0.0024848,0.194833,0.00808093
3,0.611293,0.373995,0.00469663,0.00551051,0.00450555,0.264293,0.0102071
4,0.446039,0.53525,0.00517844,0.00648722,0.00704579,0.349149,0.0116657
5,0.287581,0.690484,0.00510969,0.00689156,0.00993343,0.446652,0.0120012
6,0.157597,0.818271,0.00456435,0.00668151,0.0128862,0.550822,0.0112459
7,0.070149,0.904345,0.00379878,0.00607224,0.0156347,0.653428,0.00987102
8,0.0241188,0.949472,0.00304567,0.00533344,0.0180302,0.746213,0.0083791
9,0.00607984,0.966837,0.00240838,0.00462561,0.0200488,0.823236,0.00703399
10,0.00106862,0.971303,0.00189806,0.00399928,0.0217312,0.882197,0.00589734
11,0.000125291,0.971792,0.00149513,0.00345611,0.0231317,0.924223,0.00495123
12,9.46E-06,0.971527,0.00117765,0.00298652,0.0242995,0.952509,0.00416416
13,4.48E-07,0.971216,0.000927549,0.00258065,0.0252751,0.970762,0.0035082
14,1.31E-08,0.970948,0.00073054,0.00222987,0.0260916,0.982206,0.00296041
15,2.32E-10,0.970722,0.000575359,0.00192673,0.0267764,0.989248,0.00250209
16,2.49E-12,0.97053,0.00045313,0.00166477,0.0273517,0.993531,0.0021179
17,1.61E-14,0.970369,0.00035686,0.00143839,0.0278359,0.996118,0.00179526
18,6.22E-17,0.970232,0.000281039,0.00124279,0.028244,0.997674,0.00152383
19,1.45E-19,0.970116,0.000221324,0.00107377,0.0285887,0.998608,0.00129509
20,2.01E-22,0.970018,0.000174295,0.000927724,0.0288802,0.999167,0.00110202
21,1.67E-25,0.969934,0.000137258,0.000801537,0.029127,0.999501,0.000938794
22,8.34E-29,0.969863,0.00010809,0.000692508,0.0293364,0.999702,0.000800598
23,2.48E-32,0.969802,8.51E-05,0.000598307,0.0295142,0.999822,0.000683426
24,4.43E-36,0.969751,6.70E-05,0.000516917,0.0296655,0.999893,0.000583947
25,4.73E-40,0.969706,5.28E-05,0.000446596,0.0297942,0.999936,0.000499381
26,3.02E-44,0.969669,4.16E-05,0.00038584,0.0299039,0.999962,0.000427407
27,1.15E-48,0.969636,3.27E-05,0.000333349,0.0299975,0.999977,0.000366082
28,2.63E-53,0.969609,2.58E-05,0.000287998,0.0300774,0.999986,0.000313774
29,3.60E-58,0.969585,2.03E-05,0.000248816,0.0301458,0.999992,0.000269114
30,2.94E-63,0.969565,1.60E-05,0.000214964,0.0302042,0.999995,0.000230948
31,1.44E-68,0.969547,1.26E-05,0.000185718,0.0302543,0.999997,0.000198305
32,4.22E-74,0.969532,9.91E-06,0.00016045,0.0302971,0.999998,0.000170362
33,7.39E-80,0.96952,7.81E-06,0.00013862,0.0303339,0.999999,0.000146425
34,7.75E-86,0.969509,6.15E-06,0.00011976,0.0303654,0.999999,0.000125906
35,4.86E-92,0.969499,4.84E-06,0.000103466,0.0303925,1,0.000108306
36,1.83E-98,0.969491,3.81E-06,8.94E-05,0.0304158,1,9.32E-05
37,4.10E-105,0.969484,3.00E-06,7.72E-05,0.0304357,1,8.02E-05
38,5.52E-112,0.969478,2.36E-06,6.67E-05,0.0304529,1,6.91E-05
39,4.44E-119,0.969473,1.86E-06,5.76E-05,0.0304677,1,5.95E-05
40,2.14E-126,0.969468,1.47E-06,4.98E-05,0.0304804,1,5.13E-05
41,6.17E-134,0.969464,1.15E-06,4.30E-05,0.0304913,1,4.42E-05
42,1.06E-141,0.969461,9.09E-07,3.72E-05,0.0305007,1,3.81E-05
43,1.10E-149,0.969458,7.16E-07,3.21E-05,0.0305089,1,3.28E-05
44,6.78E-158,0.969456,5.63E-07,2.77E-05,0.0305158,1,2.83E-05
45,2.51E-166,0.969454,4.44E-07,2.40E-05,0.0305219,1,2.44E-05
46,5.55E-175,0.969452,3.49E-07,2.07E-05,0.030527,1,2.11E-05
47,7.35E-184,0.96945,2.75E-07,1.79E-05,0.0305315,1,1.82E-05
48,5.82E-193,0.969449,2.17E-07,1.55E-05,0.0305354,1,1.57E-05
49,2.76E-202,0.969448,1.71E-07,1.34E-05,0.0305387,1,1.35E-05
50,7.84E-212,0.969447,1.34E-07,1.15E-05,0.0305416,1,1.17E-05
51,1.33E-221,0.969446,1.06E-07,9.97E-06,0.030544,1,1.01E-05
52,1.35E-231,0.969445,8.33E-08,8.61E-06,0.0305462,1,8.69E-06
53,8.23E-242,0.969444,6.56E-08,7.44E-06,0.030548,1,7.50E-06
54,3.00E-252,0.969444,5.17E-08,6.43E-06,0.0305496,1,6.48E-06
55,6.53E-263,0.969443,4.07E-08,5.55E-06,0.030551,1,5.59E-06
56,8.52E-274,0.969443,3.20E-08,4.80E-06,0.0305522,1,4.83E-06
57,6.65E-285,0.969443,2.52E-08,4.14E-06,0.0305532,1,4.17E-06
58,3.10E-296,0.969442,1.99E-08,3.58E-06,0.0305541,1,3.60E-06
59,8.68E-308,0.969442,1.56E-08,3.09E-06,0.0305548,1,3.11E-06
60,1.45181e-319,0.969442,1.23E-08,2.67E-06,0.0305555,1,2.68E-06
61,0,0.969442,9.70E-09,2.31E-06,0.0305561,1,2.32E-06
62,0,0.969441,7.64E-09,1.99E-06,0.0305565,1,2.00E-06
63,0,0.969441,6.01E-09,1.72E-06,0.030557,1,1.73E-06
64,0,0.969441,4.74E-09,1.49E-06,0.0305573,1,1.49E-06
65,0,0.969441,3.73E-09,1.29E-06,0.0305576,1,1.29E-06
66,0,0.969441,2.94E-09,1.11E-06,0.0305579,1,1.11E-06
67,0,0.969441,2.31E-09,9.60E-07,0.0305582,1,9.62E-07
68,0,0.969441,1.82E-09,8.29E-07,0.0305584,1,8.31E-07
69,0,0.969441,1.43E-09,7.17E-07,0.0305585,1,7.18E-07
70,0,0.969441,1.13E-09,6.19E-07,0.0305587,1,6.20E-07
71,0,0.969441,8.89E-10,5.35E-07,0.0305588,1,5.36E-07
72,0,0.969441,7.00E-10,4.62E-07,0.0305589,1,4.63E-07
73,0,0.969441,5.51E-10,3.99E-07,0.030559,1,4.00E-07
74,0,0.969441,4.34E-10,3.45E-07,0.0305591,1,3.45E-07
75,0,0.969441,3.42E-10,2.98E-07,0.0305592,1,2.98E-07
76,0,0.96944,2.69E-10,2.57E-07,0.0305592,1,2.58E-07
77,0,0.96944,2.12E-10,2.22E-07,0.0305593,1,2.23E-07
78,0,0.96944,1.67E-10,1.92E-07,0.0305593,1,1.92E-07
79,0,0.96944,1.31E-10,1.66E-07,0.0305594,1,1.66E-07
80,0,0.96944,1.04E-10,1.43E-07,0.0305594,1,1.43E-07
