i,S,V,Ip,Im,Rs,Rv,P,I (A=0.10),I (A=0.50),I (A=0.90),,,I (A = 0.10),I (A = 0.50),I (A = 0.90),,,,,,,Ip(e1 = 0.10),Ip(e1 = 0.50),Ip(e1 = 0.90),,Im(e1 = 0.10),Im(e1 = 0.50),Im(e1 = 0.90)
0,0.996,0,0.002,0.002,0,0,0,0.004,0.004,0.004,,,0.004,0.004,0.004,,,,,,,0.002,0.002,0.002,,0.002,0.002,0.002
1,0.893514,0.0996,0.00286736,0.00301045,0.0005043,0.0005043,0.0010086,0.00587781,0.00587781,0.00587781,,,0.00587781,0.00587781,0.00587781,,,,,,,0.00230193,0.00230193,0.00230193,,0.00245338,0.00245338,0.00245338
2,0.800358,0.188529,0.00411049,0.00451813,0.00160675,0.000878054,0.0024848,0.00838529,0.0083092,0.00823312,,,0.00838529,0.0083092,0.00823312,,,,,,,0.00296092,0.00261715,0.00227337,,0.00260942,0.00260942,0.00260942
3,0.715321,0.267391,0.00588713,0.00675775,0.00338104,0.0012627,0.00464373,0.0116377,0.0112741,0.0108969,,,0.0116477,0.0112852,0.0109091,,,,,,,0.00402605,0.00295462,0.00204134,,0.00254169,0.00254176,0.00254183
4,0.637239,0.336486,0.00841434,0.0100651,0.00595192,0.0018444,0.00779632,0.0157503,0.0146826,0.0135871,,,0.0158068,0.0147491,0.013661,,,,,,,0.00563253,0.00332184,0.00173266,,0.00235065,0.00235098,0.00235129
5,0.564989,0.395731,0.0119827,0.0149097,0.00949942,0.00288855,0.012388,0.0208365,0.0184025,0.0160573,,,0.0210252,0.018626,0.016292,,,,,,,0.0079937,0.00372524,0.00142401,,0.00211023,0.00211112,0.00211183
6,0.497491,0.44457,0.0169647,0.0219261,0.0142633,0.0047851,0.0190485,0.0270038,0.0223043,0.0182487,,,0.0274864,0.0228561,0.0187581,,,,,,,0.0114177,0.00417062,0.00114932,,0.00186265,0.00186442,0.00186564
7,0.433738,0.481883,0.0238034,0.0319251,0.0205448,0.00810583,0.0286506,0.0343461,0.026301,0.0202926,,,0.0353867,0.0274102,0.0211455,,,,,,,0.0163345,0.00466349,0.000918315,,0.00162824,0.00163129,0.00163309
8,0.372871,0.505955,0.0329571,0.0458492,0.0286987,0.0136697,0.0423684,0.0429311,0.0303625,0.0223873,,,0.0449181,0.0322888,0.0235839,,,,,,,0.0233259,0.00520929,0.000729662,,0.00141509,0.00141988,0.00142228
9,0.31432,0.514602,0.0447614,0.0646072,0.0391081,0.0226007,0.0617088,0.0527824,0.0345077,0.0246926,,,0.0562374,0.0375095,0.0261886,,,,,,,0.0331485,0.0058135,0.000577983,,0.00122513,0.00123222,0.00123522
10,0.258016,0.505635,0.059171,0.0887081,0.052127,0.0363424,0.0884695,0.0638567,0.038784,0.0273034,,,0.0694221,0.0430948,0.0290457,,,,,,,0.0467271,0.00648174,0.000457056,,0.00105747,0.00106752,0.00107111
11,0.204612,0.477802,0.0753898,0.117654,0.0679797,0.056562,0.124542,0.0760185,0.0432477,0.0302689,,,0.0844121,0.0490602,0.032217,,,,,,,0.0650765,0.00721973,0.000361091,,0.000910083,0.000923861,0.000928003
12,0.155581,0.432149,0.0915424,0.14925,0.0866185,0.0848601,0.171479,0.0890184,0.0479491,0.0336155,,,0.100947,0.0554053,0.0357464,,,,,,,0.0890852,0.00803334,0.000285127,,0.000780627,0.000798973,0.000803638
13,0.112929,0.373177,0.104746,0.179327,0.107579,0.12224,0.22982,0.10248,0.0529231,0.0373614,,,0.118509,0.0621072,0.0396642,,,,,,,0.119084,0.00892845,0.000225078,,0.000666819,0.000690609,0.000695757
14,0.0784397,0.308609,0.111963,0.202609,0.129923,0.168457,0.29838,0.115905,0.0581834,0.041519,,,0.136308,0.0691145,0.0439877,,,,,,,0.154182,0.0099109,0.000177647,,0.000566633,0.000596684,0.00060227
15,0.0527572,0.247048,0.111439,0.214786,0.152365,0.221604,0.373969,0.128701,0.0637187,0.0460937,,,0.153312,0.0763435,0.0487212,,,,,,,0.191531,0.0109863,0.000140199,,0.000478397,0.000515326,0.000521301
