i,S,V,Ip Cv=0.10),Im Cv=0.10),R,x,I (Cv=0.10)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.12268,0.00587781
2,0.780189,0.209017,0.00393253,0.00437668,0.0024848,0.149368,0.0083092
3,0.659217,0.324959,0.00513534,0.00612754,0.00456169,0.180332,0.0112629
4,0.535443,0.442581,0.00636605,0.00824968,0.0073608,0.215716,0.0146157
5,0.415003,0.555852,0.00748842,0.0106882,0.0109686,0.255504,0.0181766
6,0.304453,0.658377,0.00838203,0.0133677,0.0154202,0.299501,0.0217498
7,0.209541,0.74455,0.00898227,0.0162266,0.0206992,0.347327,0.0252089
8,0.133993,0.81071,0.00929385,0.0192455,0.0267576,0.398418,0.0285393
9,0.0787606,0.855868,0.00937225,0.0224545,0.0335442,0.452042,0.0318268
10,0.0420551,0.881705,0.00929004,0.0259187,0.041031,0.507309,0.0352088
11,0.020135,0.891819,0.00910949,0.0297115,0.0492247,0.563177,0.038821
12,0.00852164,0.890549,0.00887122,0.0338924,0.0581656,0.618485,0.0427636
13,0.0031397,0.881851,0.008596,0.0384948,0.0679188,0.672014,0.0470908
14,0.000990928,0.86863,0.00829203,0.0435245,0.0785625,0.722588,0.0518165
15,0.000263487,0.852634,0.00796178,0.0489627,0.0901782,0.769189,0.0569245
16,5.80E-05,0.834722,0.00760616,0.0547692,0.102844,0.811057,0.0623754
17,1.04E-05,0.815248,0.0072264,0.0608831,0.116632,0.847752,0.0681095
18,1.50E-06,0.794356,0.00682452,0.0672207,0.131598,0.879153,0.0740452
19,1.71E-07,0.772139,0.00640341,0.0736751,0.147783,0.905428,0.0800785
20,1.51E-08,0.74871,0.00596681,0.0801167,0.165206,0.926957,0.0860835
21,1.03E-09,0.724224,0.00551922,0.0863959,0.183861,0.944264,0.0919151
22,5.30E-11,0.698875,0.0050658,0.0923497,0.203709,0.957934,0.0974155
23,2.06E-12,0.672898,0.00461219,0.097809,0.224681,0.968563,0.102421
24,5.93E-14,0.646555,0.00416427,0.102609,0.246671,0.97671,0.106773
25,1.26E-15,0.620129,0.00372787,0.1066,0.269543,0.982876,0.110328
26,1.97E-17,0.593905,0.00330848,0.109657,0.293129,0.98749,0.112966
27,2.25E-19,0.568161,0.00291098,0.111691,0.317237,0.990909,0.114602
28,1.86E-21,0.543152,0.00253938,0.11265,0.341658,0.993422,0.11519
29,1.11E-23,0.519102,0.00219671,0.11253,0.366172,0.995254,0.114726
30,4.78E-26,0.496192,0.00188487,0.111363,0.39056,0.996583,0.113248
31,1.48E-28,0.474562,0.00160471,0.109223,0.41461,0.997543,0.110827
32,3.32E-31,0.454307,0.00135608,0.10621,0.438127,0.998233,0.107566
33,5.37E-34,0.435478,0.00113796,0.102449,0.460935,0.998729,0.103587
34,6.26E-37,0.41809,0.000948673,0.0980758,0.482885,0.999084,0.0990245
35,5.27E-40,0.402126,0.000786065,0.09323,0.503858,0.999339,0.0940161
36,3.22E-43,0.387544,0.00064767,0.0880485,0.52376,0.999522,0.0886961
37,1.43E-46,0.374282,0.000530888,0.0826587,0.542528,0.999653,0.0831895
38,4.63E-50,0.362267,0.00043311,0.0771751,0.560125,0.999748,0.0776082
39,1.09E-53,0.351416,0.000351824,0.0716969,0.576536,0.999816,0.0720487
40,1.89E-57,0.341642,0.00028468,0.0663069,0.591767,0.999866,0.0665916
41,2.41E-61,0.332858,0.000229539,0.0610716,0.605841,0.999901,0.0613011
42,2.26E-65,0.324979,0.000184491,0.0560423,0.618795,0.999927,0.0562268
43,1.57E-69,0.317922,0.00014786,0.0512566,0.630674,0.999946,0.0514044
44,8.07E-74,0.31161,0.000118198,0.0467397,0.641532,0.99996,0.0468579
45,3.08E-78,0.30597,9.43E-05,0.0425068,0.651429,0.999971,0.0426011
46,8.77E-83,0.300935,7.50E-05,0.0385646,0.660425,0.999978,0.0386396
47,1.86E-87,0.296443,5.96E-05,0.034913,0.668585,0.999984,0.0349726
