i,S,V,Ip (Cv=0.50),Im (Cv=0.50),R,x,I (Cv=0.50)
,,,,,,,
1,0.893514,0.0996,0.00286736,0.00301045,0.0010086,0.10468,0.00587781
2,0.796196,0.192934,0.00396993,0.00441536,0.0024848,0.107308,0.00838529
3,0.705962,0.277819,0.00531722,0.00632043,0.00458082,0.107879,0.0116377
4,0.623907,0.352868,0.00690424,0.00884602,0.00747397,0.106566,0.0157503
5,0.550359,0.417439,0.00871071,0.0121258,0.0113655,0.103678,0.0208365
6,0.485035,0.471482,0.0107008,0.016303,0.0164789,0.0995941,0.0270038
7,0.427249,0.515347,0.0128233,0.0215227,0.0230574,0.0947186,0.0343461
8,0.376107,0.549602,0.0150114,0.0279197,0.0313598,0.0894311,0.0429311
9,0.330662,0.574902,0.0171832,0.0355992,0.0416536,0.0840618,0.0527824
10,0.290031,0.591907,0.0192441,0.0446125,0.0542049,0.0788774,0.0638567
11,0.253462,0.601257,0.0210903,0.0549282,0.0692625,0.0740786,0.0760185
12,0.220372,0.603572,0.0226157,0.0664027,0.0870381,0.069805,0.0890184
13,0.190353,0.599485,0.0237219,0.078758,0.107682,0.0661439,0.10248
14,0.163156,0.589681,0.0243303,0.0915746,0.131258,0.06314,0.115905
15,0.138655,0.574929,0.0243932,0.104307,0.157716,0.0608053,0.128701
16,0.116794,0.556093,0.0239037,0.11633,0.18688,0.0591274,0.140233
17,0.0975444,0.53412,0.0228985,0.127001,0.218436,0.0580756,0.149899
18,0.0808499,0.510002,0.0214545,0.135745,0.251949,0.0576062,0.157199
19,0.0666029,0.484712,0.0196777,0.142124,0.286884,0.0576659,0.161801
20,0.0546335,0.459146,0.0176886,0.145888,0.322644,0.0581942,0.163577
21,0.0447183,0.434068,0.0156065,0.146993,0.358614,0.0591261,0.162599
22,0.0366002,0.410077,0.0135367,0.14558,0.394207,0.0603935,0.159116
23,0.0300121,0.387595,0.0115624,0.141936,0.428895,0.0619278,0.153498
24,0.0246967,0.366884,0.00974171,0.136443,0.462234,0.0636619,0.146185
25,0.0204208,0.348067,0.00810918,0.129522,0.493881,0.0655319,0.137631
26,0.0169823,0.331158,0.00667917,0.121592,0.523589,0.0674792,0.128271
27,0.014212,0.316096,0.00545082,0.113038,0.551204,0.0694517,0.118489
28,0.0119721,0.302771,0.00441289,0.104191,0.576653,0.0714048,0.108604
29,0.0101519,0.291043,0.00354791,0.0953248,0.599932,0.0733018,0.0988727
30,0.00866415,0.280764,0.00283543,0.0866508,0.621086,0.0751138,0.0894862
31,0.00744013,0.271779,0.00225433,0.0783252,0.640201,0.0768195,0.0805795
32,0.00642618,0.263945,0.00178432,0.0704559,0.657389,0.0784042,0.0722402
33,0.00558037,0.257124,0.00140686,0.0631106,0.672778,0.079859,0.0645175
34,0.00486995,0.251192,0.00110555,0.056325,0.686507,0.08118,0.0574306
